Player,Position,C,LW,RW,D,G,Team,Contract,Consensus Rank,Consensus Points,"Chuck
Lemieux",NHL,ESPN,Fantrax,TSN
Connor McDavid,C,1,,,,,EDM,,1.0,108,112,105,111,105,108
Nikita Kucherov,RW,,,1,,,TBL,,2.2,97,106,95,94,97,92
Sidney Crosby,C,1,,,,,PIT,,4.2,91,90,92,88,90,94
Nathan MacKinnon,C,1,,,,,COL,,5.4,90,95,90,89,86,88
Johnny Gaudreau,LW,,1,,,,CGY,,8.0,86,88,86,85,88,81
Evgeni Malkin,C,1,,,,,PIT,,9.6,85,86,92,80,86,83
Evgeny Kuznetsov,C,1,,,,,WAS,,10.2,85,85,86,83,85,84
John Tavares,C,1,,,,,TOR,,11.0,85,78,91,91,88,75
Claude Giroux,C/LW,1,1,,,,PHI,,12.0,83,77,88,82,88,82
Patrick Kane,RW,,,1,,,CHI,,13.4,84,80,77,89,82,90
Alex Ovechkin,LW,,1,,,,WAS,,14.0,83,80,81,87,85,80
Steven Stamkos,C,1,,,,,TBL,,14.2,84,93,84,83,85,73
David Pastrnak,RW,,,1,,,BOS,,15.0,82,86,86,88,75,74
Blake Wheeler,C/RW,1,,1,,,WPG,,15.4,81,82,85,85,76,79
Tyler Seguin,C,1,,,,,DAL,UFA,16.0,82,86,85,78,81,78
Taylor Hall,LW,,1,,,,NJD,,16.4,81,72,86,79,88,78
Brad Marchand,LW,,1,,,,BOS,,16.8,81,82,85,84,77,75
Aleksander Barkov,C,1,,,,,FLA,,17.6,80,87,82,81,82,70
Auston Matthews,C,1,,,,,TOR,RFA,17.8,82,94,86,71,81,77
Artemi Panarin,LW,,1,,,,CBJ,UFA,19.2,79,80,80,81,74,80
Jamie Benn,C/LW,1,1,,,,DAL,,19.8,80,75,85,78,78,82
Mark Scheifele,C,1,,,,,WPG,,20.4,80,87,83,76,80,73
Anze Kopitar,C,1,,,,,LAK,,21.0,78,69,87,79,82,75
Phil Kessel,RW,,,1,,,PIT,,21.2,78,75,79,81,79,76
Mathew Barzal,C,1,,,,,NYI,,22.0,78,71,76,91,74,78
Jack Eichel,C,1,,,,,BUF,,22.6,78,81,78,79,80,70
Nicklas Backstrom,C,1,,,,,WAS,,26.8,76,79,77,75,72,75
Mikko Rantanen,RW,,,1,,,COL,RFA,27.4,75,83,75,78,74,66
Patrik Laine,RW,,,1,,,WPG,RFA,28.0,75,77,73,75,79,71
Mitchell Marner,RW,,,1,,,TOR,RFA,28.2,75,73,78,78,74,70
Jakub Voracek,RW,,,1,,,PHI,,28.2,75,72,73,78,78,72
Leon Draisaitl,C/RW,1,,1,,,EDM,,28.8,75,79,74,79,73,69
Filip Forsberg,LW,,1,,,,NSH,,29.4,74,82,72,81,72,64
Vladimir Tarasenko,RW,,,1,,,STL,,30.6,74,76,72,75,74,71
Vincent Trocheck,C,1,,,,,FLA,,37.0,71,75,71,78,66,67
Rickard Rakell,LW/RW,,1,1,,,ANA,,38.6,70,72,73,73,67,66
Brent Burns,D,,,,1,,SJS,,39.4,70,70,71,75,64,71
Sebastian Aho,C/LW,1,1,,,,CAR,RFA,40.0,70,67,70,73,75,65
Jonathan Huberdeau,LW,,1,,,,FLA,,41.0,70,78,69,66,71,65
Mikael Granlund,C/RW,1,,1,,,MIN,,41.4,70,70,68,71,71,68
Clayton Keller,LW/RW,,1,1,,,ARI,,42.2,70,65,70,69,70,74
Ryan Getzlaf,C,1,,,,,ANA,,42.8,69,68,75,64,71,68
Brock Boeser,RW,,,1,,,VAN,RFA,44.4,68,71,71,64,71,64
Erik Karlsson,D,,,,1,,OTT,UFA,44.8,68,69,72,73,58,70
William Nylander,C/RW,1,,1,,,TOR,,47.4,68,68,67,70,67,66
Jonathan Marchessault,C/LW,1,1,,,,VGK,,48.0,68,62,69,80,66,62
Joe Pavelski,C/RW,1,,1,,,SJS,UFA,48.0,67,69,68,67,63,69
Alexander Radulov,RW,,,1,,,DAL,,48.2,67,65,70,74,64,63
Sean Monahan,C,1,,,,,CGY,,50.0,66,70,68,66,66,62
Brayden Point,C,1,,,,,TBL,,50.6,66,66,69,66,71,60
Nikolaj Ehlers,LW/RW,,1,1,,,WPG,,52.4,66,67,63,68,66,65
Brayden Schenn,C,1,,,,,STL,,53.4,65,65,60,66,72,64
Dylan Larkin,C,1,,,,,DET,,53.6,66,69,63,66,70,60
Victor Hedman,D,,,,1,,TBL,,53.6,65,68,68,66,62,62
Patrice Bergeron,C,1,,,,,BOS,,53.8,66,61,75,62,70,62
Eric Staal,C,1,,,,,MIN,UFA,54.4,65,58,69,70,68,61
Mark Stone,RW,,,1,,,OTT,UFA,55.6,65,72,62,60,68,63
Sean Couturier,C,1,,,,,PHI,,57.2,65,64,68,62,71,58
Teuvo Teravainen,LW/RW,,1,1,,,CAR,,59.4,64,60,66,68,61,63
Evgenii Dadonov,LW/RW,,1,1,,,FLA,,59.8,63,65,65,70,59,58
Ryan O'Reilly,C,1,,,,,STL,,60.6,63,60,67,63,63,64
John Klingberg,D,,,,1,,DAL,,61.8,63,71,66,63,54,61
William Karlsson,C/LW,1,1,,,,VGK,RFA,62.0,63,57,67,67,67,56
Ilya Kovalchuk,LW/RW,,1,1,,,LAK,,64.8,62,63,70,56,62,61
Viktor Arvidsson,RW,,,1,,,NSH,,65.8,62,64,62,61,61,61
Jaden Schwartz,LW,,1,,,,STL,,66.6,62,69,65,57,63,55
Shayne Gostisbehere,D,,,,1,,PHI,,68.6,61,67,57,69,57,56
J.T. Miller,C/RW,1,,1,,,TBL,,68.8,61,65,60,63,61,55
Nico Hischier,C,1,,,,,NJD,,71.8,61,54,62,64,68,55
Gabriel Landeskog,LW,,1,,,,COL,,71.8,60,58,64,64,58,55
Ryan Johansen,C,1,,,,,NSH,,72.0,60,63,61,58,61,58
Logan Couture,C/LW,1,1,,,,SJS,,75.2,59,56,63,60,62,55
Mike Hoffman,LW/RW,,1,1,,,FLA,,75.8,59,63,58,60,60,55
Max Pacioretty,LW,,1,,,,VGK,UFA,76.0,59,56,61,64,57,56
Jeff Carter,C,1,,,,,LAK,,76.2,60,63,64,65,53,54
Jeff Skinner,LW,,1,,,,CAR,UFA,76.8,59,55,65,56,65,56
Alex DeBrincat,LW/RW,,1,1,,,CHI,,78.6,60,52,61,72,59,54
John Carlson,D,,,,1,,WAS,,79.6,58,59,60,60,58,54
Ryan Nugent-Hopkins,C/LW,1,1,,,,EDM,,80.8,58,57,65,60,51,56
