#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Draft,Round,Overall,Rk,Age,BTN Code,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,PTS,+/-,Sh,Miss,Blkd,Sh%,CoSH%,Dist,Wrist,Snap,Slap,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
56,Apr 30 '88,Hamilton,ON,CAN,69,170,R,,,,Y,25,SPENCERABBOTT,Spencer,Abbott,TOR,,,LW/RW,1,0,0,0,-2,2,0,0,0.0%,0.0%,13.0,1,0,0,5.3,5.3,10,10.0,0.53,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,2,1,0,0,0,0,22.8,11.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,,, ,,0,1,0,0,0,0,0,0,0%,4,0,-0.1,-0.1,-0.10,-1.14,0.4,0.4,-1.9,-0.2,-0.2,0,-0.4,-0.40,-4.56,,,,,,650000,,-1.5
8,Feb 25 '87,Muskegon,MI,USA,73,219,L,2005,2,42,,26,JUSTINABDELKADER,Justin,Abdelkader,DET,,,LW/C,70,10,18,28,2,147,51,25,6.8%,4.5%,28.6,72,25,7,1069.9,15.3,1444,20.6,0.74,120,6.74,10.5%,18.9%,29.5%,23,32,41.8%,1.3,133,172,31,51,15,21,7.5,9.6,1.7,2.9,0.8,1.2,31,13,1,0,0,0,4.3,,, ,,3,20,0,0,3,1,0,1,100%,5,1.3,1.2,2.6,0.04,0.15,21.4,20.1,2.7,2,2.2,0,4.2,0.06,0.24,,,,12,"Head, Groin",1800000,,1.0
41,Jul 16 '87,Edina,MN,USA,73,199,L,,,,,26,WILLACTON,Will,Acton,EDM,,,C/RW,30,3,2,5,-2,18,8,11,16.7%,8.1%,28.9,8,4,1,244.1,8.1,438,14.6,0.56,11,2.70,5.9%,3.9%,9.8%,98,97,50.3%,10.9,23,37,14,8,4,15,5.7,9.1,3.4,2.0,1.0,3.7,21,3,3,0,0,0,-1.5,,, ,,0,6,0,0,1,0,0,0,0%,4,0.2,0.2,0.4,0.01,0.10,4.3,7.3,-1.2,0.3,1.3,0,1.6,0.05,0.39,,,,,,680000,,0.4
72,Jun 18 '90,St. John's,NL,CAN,74,206,L,2008,2,44,,23,LUKEADAM,Luke,Adam,BUF,,,C/LW,12,1,0,1,0,16,7,12,6.3%,2.9%,27.2,5,2,2,154.0,12.8,200,16.7,0.77,0,0.00,16.7%,0.0%,16.7%,10,16,38.5%,3.6,12,16,1,7,0,1,4.7,6.2,0.4,2.7,0.0,0.4,4,2,0,0,0,0,-0.3,1,0,0%,0,0,3,0,0,0,0,0,0,0%,4,-0.2,0.2,0,0.00,0.00,2.4,2,1.4,-0.5,0.2,-0.3,-0.6,-0.05,-0.23,,,,,,735000,,-1.9
27,Apr 26 '77,Seria,,BRN,72,200,R,1996,9,223,,36,CRAIGADAMS,Craig,Adams,PIT,,,RW,82,5,6,11,-16,73,27,25,6.8%,4.0%,36.4,39,9,8,1021.8,12.5,1343,16.4,0.76,53,3.09,3.4%,4.1%,7.5%,61,78,43.9%,2.9,77,190,59,27,16,15,4.5,11.2,3.5,1.6,0.9,0.9,46,13,2,0,1,0,-6.0,,, ,,0,18,0,0,0,1,0,0,0%,4,-1.1,0.5,-0.6,-0.01,-0.04,16.9,26.5,-20,-3,4.1,0,1,0.01,0.06,,,,,,700000,,-0.2
51,Apr 30 '92,Morristown,NJ,USA,73,200,L,2010,5,140,Y,21,KENNYAGOSTINO,Kenny,Agostino,CGY,,,LW,8,1,1,2,-2,12,6,2,8.3%,5.0%,36.9,7,3,0,88.7,11.1,136,17.0,0.65,21,14.20,5.3%,5.3%,10.5%,0,0,0.0%,0,7,9,3,6,3,3,4.7,6.1,2.0,4.1,2.0,2.0,0,0,0,0,0,0,0.8,,, ,,1,2,0,0,0,0,0,0,0%,5,0.1,0,0.1,0.01,0.07,1.6,1.6,-1.4,0.1,0,0,0.2,0.03,0.14,,,,,,900000,,-1.4
42,Jun 03 '90,Ottawa,ON,CAN,70,190,R,,,,Y,23,JASONAKESON,Jason,Akeson,PHI,,,RW,1,0,1,1,1,2,0,2,0.0%,0.0%,0.0,0,0,0,13.4,13.4,20,20.0,0.67,3,11.22,0.0%,50.0%,50.0%,0,0,0.0%,0,0,1,0,0,0,0,0.0,4.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0%,0,0,1,0,0,0,0,0,0,0%,4,0.1,0.1,0.1,0.10,0.45,0.6,0.6,1,0.1,0.1,-0.3,-0.1,-0.10,-0.45,,,,,,900000,,-1.7
70,Jan 19 '89,Cleveland,OH,USA,71,190,L,2007,6,175,Y,25,JOHNALBERT,John,Albert,WPG,,,C,9,1,0,1,-3,5,0,1,20.0%,16.7%,44.0,0,3,1,46.0,5.1,61,6.8,0.75,0,0.00,5.3%,0.0%,5.3%,9,12,42.9%,3.9,4,8,3,0,0,1,5.2,10.4,3.9,0.0,0.0,1.3,0,0,0,0,0,0,-0.1,,, ,,0,3,0,0,0,0,0,0,0%,5,0.1,-0.1,0,0.00,0.00,1.4,1.4,-3,-0.1,-0.2,0,-0.3,-0.03,-0.39,,,,5,Upper body,585000,,-1.3
41,Jun 30 '81,Minneapolis,MN,USA,77,218,L,2001,6,179,,32,ANDREWALBERTS,Andrew,Alberts,VAN,,,D,10,0,0,0,1,5,2,6,0.0%,0.0%,51.1,3,1,1,73.9,7.4,99,9.9,0.75,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,0,9,6,7,2,4,0,7.3,4.9,5.7,1.6,3.2,0.0,0,0,0,0,0,0,2.4,,, ,,0,4,0,0,0,0,0,0,0%,4,-0.1,0.3,0.2,0.02,0.16,1.6,1.7,1.3,-0.4,0.4,0,0,0.00,0.00,,,,41,Concussion,600000,,-1.1
11,Dec 11 '72,Gothenburg,,SWE,71,203,R,1994,6,133,,41,DANIELALFREDSSON,Daniel,Alfredsson,DET,,,RW,68,18,31,49,2,151,51,69,11.9%,6.6%,35.3,71,30,34,1151.1,16.9,1492,21.9,0.77,139,7.22,18.0%,31.0%,49.0%,5,9,35.7%,0.3,66,59,25,51,36,24,3.4,3.1,1.3,2.7,1.9,1.3,10,5,0,0,0,0,2.8,10,2,20%,1,6,20,2,0,4,2,0,0,0%,5,4.4,1.3,5.8,0.09,0.30,27.9,18.9,5.4,7.9,1.3,-1,8.1,0.12,0.42,,,,14,"Groin, Back, Lower body, Back, Head",5500000,,-1.6
