#,DOB,Birth City,S/P,Ctry,HT,Wt,S,Rk,Age,BTN Code,Last Name,First Name,End Team,Teams,Pos,GP,G,A,PTS,+/-,Sh,Sh%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FO,FOW,FOL,FO%,%Tm,Hits,BkS,MsS,GvA,TkA,H/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,NetPen,ESTOI,ESTOI/G,55TOI/G,55TOF/G,ES%,ESG,ESA1,ESA2,ESA,ESP,ESP/60,ESPass,ESIGP,ESIAP,ESIPP,ESFO,ESFOW,ESFOL,ESFO%,ESOZFOW,ESOZFOL,ESOZ%,ESDZFOW,ESDZFOL,ESDZ%,ESNZFOW,ESNZFOL,ESNZ%,OZ%,OZRk,ESOZF,ESDZF,ESNZF,TOI QoC,RCQoC,QoCRk,CQoC ,RCQoT,CQoT ,ESOISH%,ESOISV%,PDO,SPD,TmESGF/60,TmESGA/60,TmESSF/60,TmESSA/60,TmESCF/60,TmESCA/60,Corsi,TmESGF,TmESGA,TmESSVA,TmESSVF,TmESMF,TmESMA,TmESBF,TmESBA,Adj Corsi,oTmESGF/60,oTmESGA/60,oTmESSF/60,oTmESSA/60,oTmESCF/60,oTmESCA/60,RelC,oTmESGF,oTmESGA,oTmESSVA,oTmESSVF,oTmESMF,oTmESMA,oTmESBF,oTmESBA,ESPenT,ESPenD,ESPPD,ESPenT/60,ESPenD/60,ESPPD/60,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPG,PPA1,PPA2,PPA,PPP,PPP/60,PPPass,PPIGP,PPIAP,PPIPP,PPFO,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,SHTOI,SHTOI/G,45TOI/G,45TOF/G,SH%,SHG,SHA1,SHA2,SHA,SHP,SHPass,SHFO,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,SHPenT,SHPenD,tmGF,tmPPGF,tmGA,tmPPGA,SOS,SOG,SO%,SOGDG,1G,OTG,GWG,ENG,PSG,PST,PS%,DIA,OPS,DPS,PS,PS/G,PS/60,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,Full,LTIR,SOIR,Ginj,Injury,Cap Cost,Bonuses,GVS
8,Feb 25 '87,Muskegon,MI,USA,73,219,L,,26,JUSTINABDELKADER,Abdelkader,Justin,DET,DET,LW/C,48,10,3,13,6,96,10.4%,711.0,14.8,949,19.8,0.75,27,2.29,43.5%,13.0%,56.5%,125,65,60,52.0%,4.5,120,13,29,10,10,10.1,1.1,2.4,0.8,0.8,34,12,2,0,0,0,4.8,655.0,13.6,13.43,34.01,28.3%,10,2,2,3,13,1.19,27,43.5%,13.0%,56.5%,86,46,40,53.5%,95,94,33.0%,90,79,29.5%,103,112,37.5%,52.8%,3,233,225,175,15.92132796,0.748,7,0.038,1.936,8.598,7.4%,.937,945,1.1%,2.14,1.49,29.04,23.73,56.12,44.49,11.63,23,16,289,239,130,98,125,161,2.31,2.06,2.06,30.06,29.07,55.17,49.58,6.0,56,56,762,735,329,245,313,354,8,13,5,0.73,1.19,0.46,31.4,0.7,0.65,5.37,10.8%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,12,5,7,41.7%,0,1,30,2,17,1,1,21,0,1,24.5,0.5,0.52,4.76,9.8%,0,0,0,0,0,0,27,14,13,51.9%,0,7,1,25,1,6,14,0,0,0,23,0,24,7,,, ,,1,0,0,2,0,0, ,5,0.6,1.1,1.7,0.04,0.14,12.2,14.7,3.2,0.7,2.7,0,3.4,0.07,0.29,99,0,0,,,"$1,800,000",$0,1.1
72,Jun 18 '90,St. John's,NF,CAN,74,206,L,,23,LUKEADAM,Adam,Luke,BUF,BUF,C/LW,4,1,0,1,1,2,50.0%,39.2,9.8,48,12.0,0.82,0,0.00,50.0%,0.0%,50.0%,#VALUE!,1, ,#VALUE!,0.4,3,2,1,0,0,4.6,3.1,1.5,0.0,0.0,2,1,0,0,0,0,-1.1,37.7,9.4,9.42,35.32,21.1%,1,0,0,0,1,1.59,0,50.0%,0.0%,50.0%,1,1,0,100.0%,2,1,12.5%,6,3,37.5%,3,9,50.0%,25.0%,1,12,14,10,14.72126474,-1.428,12,4.728,2.831,-10.165,18.2%,.966,984,14.7%,3.18,1.59,17.52,46.18,35.03,73.25,-38.22,2,1,9,28,4,4,13,7,-17.41,2.97,1.70,27.18,29.73,47.14,53.51,-31.8,7,4,57,66,15,22,34,32,1,0,-1,1.59,0.00,-1.59,1.5,0.4,0.38,5.28,6.7%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,2,0,0,0,0,1,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,2,0,1,0,,, ,,1,0,0,0,0,0, ,2,0.1,0.1,0.2,0.05,0.31,0.9,0.8,1.1,0.1,0.2,0,0.3,0.08,0.46,15,0,0,,,"$119,318","$87,500",0.2
27,Apr 26 '77,Seria,,BRN,72,197,R,,36,CRAIGADAMS,Adams,Craig,PIT,PIT,RW,48,3,6,9,-1,46,6.5%,535.8,11.2,720,15.0,0.74,45,5.04,25.0%,50.0%,75.0%,98,51,47,52.0%,3.3,107,37,12,7,5,12.0,4.1,1.3,0.8,0.6,28,9,2,0,0,0,2.0,406.7,8.5,8.45,39.32,17.7%,2,3,3,6,8,1.18,45,18.2%,54.5%,72.7%,57,35,22,61.4%,48,40,26.4%,78,41,35.7%,70,56,37.8%,42.5%,5,119,132,119,14.64538297,-0.331,15,0.162,-5.807,-6.562,6.7%,.930,937,-0.3%,1.63,1.92,24.41,27.66,41.42,56.51,-15.09,11,13,154,174,57,65,130,58,-6.66,3.21,2.16,30.71,29.95,57.29,56.75,-15.6,101,68,865,874,374,377,466,462,5,9,4,0.74,1.33,0.59,1.5,0.0,0.03,5.2,0.6%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%,1,0,1,0.0%,0,0,1,0,1,0,1,0,0,0,127.6,2.7,2.42,2.83,46.1%,1,0,0,0,1,0,40,16,24,40.0%,1,12,8,78,1,34,46,2,1,0,12,0,28,15,,, ,,1,0,0,2,0,0, ,5,-0.2,0.4,0.2,0.00,0.02,8.1,12.4,-5.5,0,1.1,0,1.1,0.02,0.12,99,0,0,,,"$675,000",$0,0.8
42,Jun 03 '90,Ottawa,ON,CAN,70,190,R,Y,23,JASONAKESON,Akeson,Jason,PHI,PHI,RW/C,1,1,0,1,2,2,50.0%,12.4,12.4,18,18.0,0.69,0,0.00,50.0%,0.0%,50.0%,#VALUE!, , ,#VALUE!,0.0,0,0,0,0,2,0.0,0.0,0.0,0.0,9.7,0,0,0,0,0,0,0.0,12.4,12.4,12.38,35.27,26.0%,1,0,0,0,1,4.85,0,50.0%,0.0%,50.0%, ,0,0, ,3,0,25.0%,3,0,25.0%,2,4,50.0%,50.0%,11,6,5,3,16.74421046,2.635,1,10.913,5.157,-4.393,25.0%,1.000,1025,25.0%,9.69,0.00,38.77,53.31,63.00,67.85,-4.85,2,0,6,11,1,2,1,4,10.37,0.00,1.70,28.92,39.13,47.63,73.15,20.7,0,1,17,22,6,8,12,5,0,0,0,0.00,0.00,0.00,0.0,0.0,,, ,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,,,0,0,0,0,0,0,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,2,0,0,0,,, ,,1,0,0,0,0,0, ,3,0.2,0.1,0.3,0.30,1.45,0.1,0,0,0.5,0,0,0.5,0.50,2.42,6,0,0,,,"$43,333","$185,000",0.5
41,Jun 30 '81,Minneapolis,MN,USA,77,218,L,,32,ANDREWALBERTS,Alberts,Andrew,VAN,VAN,D,24,0,1,1,-7,15,0.0%,364.3,15.2,495,20.6,0.74,23,3.71,0.0%,16.7%,16.7%,#VALUE!, , ,#VALUE!,0.0,39,31,10,7,5,6.4,5.1,1.6,1.2,0.8,32,6,0,2,0,0,-0.2,331.7,13.8,13.69,35.47,27.8%,0,1,0,1,1,0.18,23,0.0%,16.7%,16.7%, ,,, ,25,38,26.9%,41,45,36.8%,42,43,36.3%,42.3%,1,100,101,86,14.90538188,-0.033,5,-0.477,-3.006,0.466,4.4%,.920,924,-3.6%,1.10,2.37,24.65,29.58,45.29,51.50,-6.21,6,13,129,149,46,50,70,67,-5.39,2.61,2.75,28.40,29.46,54.55,50.68,-10.1,37,39,366,379,167,142,159,204,4,2,-2,0.72,0.36,-0.36,0.3,0.0,0.02,4.78,0.4%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,1,0,0,0,0,0,0,0,32.3,1.3,1.31,3.89,25.2%,0,0,0,0,0,0, ,,, ,0,3,2,20,2,8,10,3,0,0,6,0,16,3,,, ,,0,0,0,0,0,0, ,3,-0.3,0.2,-0.1,0.00,-0.02,5.2,6.7,-8,-0.8,-0.3,0,-1.1,-0.05,-0.18,99,0,0,,,"$1,225,000",$0,-2.4
11,Dec 11 '72,Gothenburg,,SWE,71,203,R,,41,DANIELALFREDSSON,Alfredsson,Daniel,OTT,OTT,RW,47,10,16,26,1,101,9.9%,909.4,19.3,1173,25.0,0.78,93,6.17,25.0%,40.0%,65.0%,38,16,22,42.1%,1.3,28,30,42,36,37,1.8,2.0,2.8,2.4,2.4,33,9,1,0,1,0,-0.1,694.2,14.8,14.14,33.8,29.5%,7,4,2,7,14,1.21,57,26.9%,26.9%,53.8%,29,11,18,37.9%,108,136,35.1%,94,105,28.6%,136,116,36.3%,55.1%,8,262,247,203,16.14035896,0.225,7,-0.624,-0.363,8.422,7.1%,.926,934,-0.3%,2.35,2.26,33.22,30.70,66.18,54.35,11.83,26,25,342,315,159,112,150,206,1.47,2.04,1.93,32.33,29.72,60.24,53.82,5.4,54,51,802,736,315,294,344,424,6,7,1,0.52,0.61,0.09,140.1,3.0,2.82,2.33,54.8%,3,2,4,8,11,4.7,20,23.1%,61.5%,84.6%,3,1,2,33.3%,13,0,116,15,38,5,3,73,1,1,75.1,1.6,1.6,4.03,28.4%,0,1,0,1,1,17,6,4,2,66.7%,1,4,16,53,3,18,16,5,0,0,43,15,31,4,7,1,14%,0,1,0,2,2,0,0, ,6,1.4,1.2,2.7,0.06,0.18,20.7,17.5,-2.1,1.1,1.2,-1.2,1.2,0.03,0.08,99,0,0,1,Illness,"$4,875,000",$0,-6.5
29,Apr 24 '89,Okene,,NGA,76,225,R,Y,24,AKIMALIU,Aliu,Akim,CGY,CGY,RW,5,0,0,0,-2,2,0.0%,54.3,10.9,73,14.6,0.74,0,0.00,0.0%,0.0%,0.0%,#VALUE!, , ,#VALUE!,0.0,5,2,1,2,1,5.5,2.2,1.1,2.2,1.1,14,2,0,1,0,0,-0.1,50.9,10.2,10.18,39.17,20.6%,0,0,0,0,0,0.00,0,0.0%,0.0%,0.0%, ,0,0, ,5,5,20.4%,8,11,38.8%,9,11,40.8%,34.5%,1,15,24,13,14.26855168,-0.958,10,-2.748,1.706,-7.603,0.0%,.938,938,-6.3%,0.00,2.36,14.15,37.72,40.08,67.19,-27.11,0,2,12,30,11,7,18,11,-18.62,3.06,3.37,29.72,33.39,51.47,63.72,-14.9,10,11,87,98,29,44,55,42,1,1,0,1.18,1.18,0.00,3.4,0.7,0.68,3.95,14.7%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,2,0,1,1,0,0,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,0,0,2,0,,, ,,0,0,0,0,0,0, ,4,-0.2,0.0,-0.2,-0.04,-0.22,0.6,0.6,-1.7,-0.3,-0.1,0,-0.4,-0.08,-0.44,17,0,0,1,Knee,"$119,343",$0,-0.5
55,Aug 21 '80,Kingston,ON,CAN,77,229,L,,33,BRYANALLEN,Allen,Bryan,ANA,ANA,D,41,0,6,6,1,25,0.0%,768.3,18.7,948,23.1,0.81,12,0.92,0.0%,24.0%,24.0%,#VALUE!, , ,#VALUE!,0.0,63,66,29,22,4,4.9,5.2,2.3,1.7,0.3,34,12,2,0,0,0,-2.3,689.7,16.8,16.37,32.86,33.3%,0,1,5,6,6,0.52,12,0.0%,26.1%,26.1%, ,,, ,91,99,30.1%,102,95,31.2%,119,126,38.8%,49.1%,5,203,244,197,15.29998058,-0.231,3,0.02,0.376,-4.327,8.5%,.929,938,1.5%,2.06,1.97,24.14,27.89,48.10,57.66,-9.57,23,22,247,290,115,155,178,153,-5.09,2.81,2.00,28.19,25.61,53.75,53.62,-9.7,63,45,570,530,251,276,353,323,9,3,-6,0.78,0.26,-0.52,2.3,0.1,0.05,4.26,1.2%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,1,0,0,0,2,0,0,0,0,0,76.3,1.9,1.81,3.73,32.7%,0,0,0,0,0,0, ,,, ,1,6,10,47,6,19,37,3,1,1,25,1,29,6,,, ,,0,0,0,0,0,0, ,4,-0.2,1.6,1.3,0.03,0.10,12.4,15.1,-4.1,-0.7,1.7,0,0.9,0.02,0.07,99,0,0,5,Flu,"$3,500,000",$0,-4.4
27,Sep 24 '88,Burnaby,BC,CAN,75,213,L,,25,KARLALZNER,Alzner,Karl,WSH,WSH,D,48,1,4,5,-6,39,2.6%,1005.9,21.0,1180,24.6,0.85,13,0.80,3.3%,13.3%,16.7%,#VALUE!, , ,#VALUE!,0.0,45,85,29,23,10,2.7,5.1,1.7,1.4,0.6,14,7,0,0,0,0,2.9,877.9,18.3,17.66,30.57,36.6%,1,1,3,4,5,0.34,13,3.6%,14.3%,17.9%, ,,, ,137,130,30.1%,172,140,35.2%,152,155,34.7%,46.1%,4,280,347,255,16.05516746,0.479,3,0.464,0.228,-2.642,7.4%,.917,924,-0.9%,1.98,2.55,26.68,30.72,52.80,55.42,-2.62,28,36,349,398,158,137,212,211,1.33,2.74,2.13,28.13,31.32,54.22,57.94,1.1,67,52,621,714,271,262,389,367,6,4,-2,0.41,0.27,-0.14,4.4,0.1,0.09,5.06,1.7%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,,, ,0,0,2,1,2,1,0,1,0,1,123.6,2.6,2.33,2.93,44.3%,0,0,0,0,0,0, ,,, ,2,11,12,102,5,35,50,6,1,0,31,0,55,18,,, ,,0,0,0,0,0,0, ,4,-0.5,1.3,0.7,0.01,0.04,16,23.1,-10.6,-1.7,0.3,0,-1.3,-0.03,-0.08,99,0,0,,,"$1,285,000",$0,-2.7
12,Oct 31 '82,West Islip,NY,USA,71,195,R,,31,MATTANDERSON,Anderson,Matt,NJD,NJD,RW,2,0,1,1,1,0,0.0%,11.6,5.8,20,10.0,0.58,8,41.56,0.0%,100.0%,100.0%,#VALUE!, , ,#VALUE!,0.0,0,1,1,0,0,0.0,5.2,5.2,0.0,0.0,0,0,0,0,0,0,0.0,11.5,5.7,5.73,39.96,12.5%,0,1,0,1,1,5.23,8,0.0%,100.0%,100.0%, ,0,0, ,1,0,25.0%,0,0,0.0%,2,1,75.0%,100.0%,15,8,3,3,14.7614526,2.34,1,8.296,-3.392,6.745,12.5%,1.000,1013,12.5%,5.24,0.00,41.88,36.65,62.83,57.59,5.24,1,0,7,7,2,0,4,2,-5.30,2.25,2.25,22.52,25.53,42.79,43.54,6.0,3,3,27,31,10,8,16,17,0,0,0,0.00,0.00,0.00,0.1,0.0,0.04,9.22,0.4%,0,0,0,0,0,0.0,0,0.0%,0.0%,0.0%, ,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,, ,0,0,0,0,0,0, ,0,0, ,,,0,0,0,0,0,0,0,0,1,0,0,0,,, ,,0,0,0,0,0,0, ,4,0.1,0.1,0.1,0.05,0.52,0.4,0.4,1.1,0.2,0.2,0,0.4,0.20,2.08,3,0,0,,,"$15,909",$0,0.4
