#,DOB,Birth City,S/P,Ctry,Nat,HT,Wt,S,Draft,Round,Overall,Rk,Age,First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,Sh%,CoSH%,TOI,TOI/G,Shifts,Sh/G,TOI/Sh,Passes,Pa/60,IGP,IAP,IPP,FOW,FOL,FO%,%Tm,OpenFOT,OpenFOW,HitA,HitF,BkS,MsS,GvA,TkA,HA/60,HF/60,B/60,M/60,G/60,T/60,PIM,Minor,Major,Misc,G Misc,Match,Grit,NetPen,SOS,SOG,SO%,SOGDG,1G,OTGP,OTG,OTA,GWG,ENG,PSG,PST,PS%,OPS,DPS,PS,PS/G,PS/60,DIA,OGIT,DIT,RPM,OGVT,DGVT,SGVT,GVT,GVT/G,GVT/60,1st Star,2nd Star,3rd Star,FO GAR,PenD GAR,PenT GAR,SRF GAR,SRA GAR,Sh GAR,GAR,dCFImpact,dCAImpact,dCorsiImpact,dCorsi60,dFFImpact,dFAImpact,dFenwickImpact,dFenwick60,Days,Ginj,Injury,Cap Cost,CHIP,Bonuses,GVS
8,Feb 25 '87,Muskegon,MI,USA,US,74,218,L,2005,2,42,,27,Justin,Abdelkader,DET,DET,,LW,71,23,21,15,44,3,154,47,36,14.9%,9.7%,1271.6,17.9,1695,23.9,0.75,136,6.40,32.9%,30.0%,62.9%,7,8,46.7%,.3,,,125,153,28,47,29,16,5.9,7.2,1.3,2.2,1.4,0.8,72,31,2,0,0,0,255,3.0,,, ,,4,22,2,0,5,1,0,0,0%,4.0,1.6,5.6,0.08,0.26,6,31.2,25.4,4.5,5.4,2.5,0.0,8.0,0.11,0.38,4,3,2,0.01,2.16,-1.07,6.57,5.54,4.5,17.71,-74.4,-46.4,-28.0,-1.8,-58.7,-49.4,-9.4,-0.6,186,11,"Hand, Shoulder",1.8,0.088,0,5.3
41,Jul 16 '87,Edina,MN,USA,US,75,202,L,,,,,27,Will,Acton,EDM,EDM,,C/RW,3,0,0,0,0,-2,2,0,1,0.0%,0.0%,32.1,10.7,52,17.3,0.62,0,0.00,0.0%,0.0%,0.0%,4,4,50.0%,4.1,,,7,3,3,0,0,2,13.1,5.6,5.6,0.0,0.0,3.7,5,0,1,0,0,0,12,0.0,,, ,,0,0,0,0,0,0,0,0,0%,-0.1,0.0,-0.1,-0.03,-0.19,4,1.0,1.3,-1.3,-0.5,0.0,0.0,-0.4,-0.13,-0.75,0,0,0,0.01,-0.09,0.1,0,0,-0.05,-0.03,4.7,-2.5,7.1,15.4,4.1,-6.3,10.4,22.6,29,,,0.106,0,0,-0.4
25,Jun 18 '90,St. John's,NL,CAN,CA,74,206,L,2008,2,44,,24,Luke,Adam,CBJ,CBJ,,C,3,0,0,0,0,0,0,0,1,0.0%,0.0%,19.3,6.4,31,10.3,0.62,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,3,2,0,0,0,0,9.3,6.2,0.0,0.0,0.0,0.0,4,1,0,0,0,0,6,-1.0,,, ,,0,2,0,0,0,0,0,0,0%,-0.1,0.0,0.0,0.00,0.00,2,0.2,0.1,0.0,-0.1,0.0,0.0,-0.1,-0.03,-0.31,0,0,0,0,0,0,0,0,0,0,-1.5,-7.2,5.6,19.6,-3.1,-4.1,1.0,3.3,5,,,0.017,0,0,-0.1
27,Apr 26 '77,Seria,,BRN,,72,200,R,1996,9,223,,37,Craig,Adams,PIT,PIT,,RW,70,1,6,3,7,-1,51,13,12,2.0%,1.3%,682.2,9.7,995,14.2,0.69,64,5.67,7.7%,46.2%,53.8%,17,23,42.5%,.9,,,71,183,29,13,7,6,6.2,16.1,2.6,1.1,0.6,0.5,44,7,2,2,0,0,258,-4.7,,, ,,0,19,0,0,1,0,0,0,0%,-1.0,0.8,-0.3,0.00,-0.03,4,10.5,16.7,-3.7,-2.1,3.4,0.0,1.3,0.02,0.11,0,0,0,-0.01,-0.95,0.64,-0.46,0.72,-2.44,-2.5,-25.9,-9.2,-16.7,-2.0,-20.7,-1.2,-19.4,-2.4,186,5,Undisclosed,0.7,0.043,0,1.0
32,Jan 03 '91,Kleinburg,ON,CAN,CA,70,187,L,,,,Y,24,Andrew,Agozzino,COL,COL,,LW,1,0,1,0,1,1,1,1,0,0.0%,0.0%,9.8,9.8,14,14.0,0.70,0,0.00,0.0%,100.0%,100.0%,0,2,0.0%,2.9,,,0,1,0,1,0,1,0.0,6.2,0.0,6.2,0.0,6.2,0,0,0,0,0,0,1,0.0,,, ,,0,0,0,0,0,0,0,0,0%,0.1,0.1,0.1,0.10,0.62,4,0.3,0.2,1.0,0.2,0.1,0.0,0.3,0.30,1.85,0,0,0,-0.01,-0.03,0.03,0,0,-0.03,-0.04,0.5,2.9,-2.4,-13.1,1.5,1.1,0.4,2.3,2,,,0.006,0,0,0.3
42,Jun 03 '90,Ottawa,ON,CAN,CA,70,190,R,,,,Y,24,Jason,Akeson,PHI,PHI,,RW,13,0,0,0,0,-1,9,5,6,0.0%,0.0%,104.7,8.1,147,11.3,0.71,0,0.00,0.0%,0.0%,0.0%,1,1,50.0%,.2,,,13,11,4,5,3,1,7.5,6.3,2.3,2.9,1.7,0.6,8,4,0,0,0,0,23,-0.2,,, ,,0,3,0,0,0,0,0,0,0%,-0.3,0.1,-0.2,-0.02,-0.11,4,1.4,1.3,-0.9,-0.6,0.1,0.0,-0.5,-0.04,-0.29,0,0,0,-0.01,0.1,-0.24,-0.87,-1.26,-0.68,-2.96,-7.9,23.3,-31.2,-18.6,-4.0,16.6,-20.6,-12.2,54,,,0.167,0,0,-0.5
6,Aug 21 '80,Kingston,ON,CAN,CA,77,223,L,1998,1,4,,34,Bryan,Allen,MTL,"ANA, MTL",6,D,11,0,2,1,2,-2,6,9,15,0.0%,0.0%,173.0,15.7,218,19.8,0.79,12,4.23,0.0%,40.0%,40.0%,0,0,0.0%,.0,,,26,20,15,9,8,0,9.0,6.9,5.2,3.1,2.8,0.0,6,3,0,0,0,0,41,-2.3,,, ,,0,6,0,0,0,0,0,0,0%,0.0,0.2,0.2,0.02,0.07,4,3.0,4.1,-3.0,0.0,0.1,0.0,0.1,0.01,0.03,0,0,0,0,-0.22,-0.14,-0.58,0.68,-0.18,-0.44,12.0,-9.6,21.6,16.0,1.9,-4.3,6.2,4.9,186,20,"Lower body, Flu",3.022,0.854,0,-5.2
,Jan 31 '90,Chicago,IL,USA,US,73,210,L,,,,Y,25,Conor,Allen,NYR,NYR,,D,4,0,0,0,0,-1,2,0,2,0.0%,0.0%,48.8,12.2,74,18.5,0.66,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,7,6,0,0,3,0,8.6,7.4,0.0,0.0,3.7,0.0,4,2,0,0,0,0,10,-1.8,,, ,,0,2,0,0,0,0,0,0,0%,-0.1,0.0,-0.1,-0.03,-0.12,1,0.8,0.9,-1.5,-0.2,-0.1,0.0,-0.3,-0.08,-0.37,0,0,0,0,-0.06,-0.24,0,0,-0.05,-0.35,0.9,-6.3,7.2,9.5,-3.2,-5.6,2.5,3.3,8,,,0.076,0,0.85,-0.4
39,Oct 18 '91,Kansas City,MO,USA,US,76,201,R,2010,2,53,Y,23,Mark,Alt,PHI,PHI,,D,1,0,0,0,0,-1,0,3,3,0.0%,0.0%,9.4,9.4,13,13.0,0.72,0,0.00,0.0%,0.0%,0.0%,0,0,0.0%,.0,,,0,1,0,3,0,0,0.0,6.4,0.0,19.1,0.0,0.0,0,0,0,0,0,0,1,0.0,,, ,,0,1,0,0,0,0,0,0,0%,0.0,-0.1,-0.1,-0.10,-0.64,3,0.3,0.3,-1.0,-0.1,-0.1,0.0,-0.2,-0.20,-1.27,0,0,0,0,0,0,0,0,0,0,3.2,-4.8,8.0,45.6,0.7,-3.1,3.9,21.9,2,,,0.01,0,0.11,-0.2
27,Sep 24 '88,Burnaby,BC,CAN,CA,74,217,L,2007,1,5,,26,Karl,Alzner,WSH,WSH,,D,82,5,16,6,21,14,72,36,62,6.9%,2.9%,1593.5,19.4,2105,25.7,0.76,64,2.43,10.9%,34.8%,45.7%,0,0,0.0%,.0,,,174,120,165,36,35,15,6.6,4.5,6.2,1.4,1.3,0.6,20,10,0,0,0,0,305,3.3,1,0,0%,0,2,21,0,1,0,0,0,0,0%,0.9,4.5,5.4,0.07,0.20,6,23.1,28.8,7.1,2.8,4.8,-0.3,7.2,0.09,0.27,0,0,1,0,-0.72,1.28,-3.7,5.05,2.22,4.13,-50.4,-41.4,-9.0,-0.4,-45.6,-28.4,-17.3,-0.8,186,,,2.8,0,0,2.4
