,DOB,Birth City,S/P,Cntry,Nat,Ht,Wt,Sh,Dft Yr,Rd,Ovrl,Debut,Seas,nhlID,Last Name,First Name,Team(s),GP,GS,GR,W,L,T,OTL,SA,SV,GA,SV%,GAA,GSAA,GSAA,T-SAX,SAX,MIN,SO,G,A,PTS,PIM,PenT,PenD,PenDf,SH%,Supp,QoC,QoS,StMin,StSV,StGA,StSV%,StGAA,QS,QS,QS%,RBS,Pull,ReMin,ReSV,ReGA,ReSV%,ReGAA,HP S,HP G,HP SV%,HighS,HighG,HighSV%,MedS,MedG,LowS,LowG,AdjSV%,EVSA,EVGA,EV SV%,PP SA,PP GA,PP SV%,SH SA,SH GA,SH SV%,AdjSV%,CA,FA,SA,xGA,GA,SCA,HDCA,HDGA,TrueSV%,ExpSV%,xGSAA,ZS%,OZS,DZS,NZS,CF,FF,SF,GF,SCF,HDCF,HDGF,SOS,SOG,SO SV%,SOW,SOL,NMC,Status,Salary,Cap Hit,GVA,Pace,GPS,Ginj,Injuries,CHIP,GP,GS,W,L,OTL,GA,SA,SO,PIM,MIN,QS,RBS,GPS
1,1998/09/20,Lantzville,BC,CAN,CAN,73,189,L,2017,7,194,2017,1,8480263,Ferguson,Dylan,VGK,1,0,1,0,0,0,0,2,1,1,.500,6.50,-0.8,-0.7,-0.8,0.0,554,0,0,0,0,0,0,1,1,0.0%,0.00,,7,,,,.000,0.00,0,,0.0%,,,9.2,1,1,.500,6.50,,,,2,1,.500,0,0,0,0,.112,1,0,1.000,1,1,.000,0,0,.000,.824,8,4,2,0.3,1,1,1,0,.750,.840,-.7,57.1%,4,3,2,5,3,3,0,2,0,0,,, ,,,,RFA,"$700,000","$716,666",0,84.5,-0.1,,,,1,0,0,0,0,1,2,0,0,9,0,0,-0.1
2,1982/09/18,Banská Bystrica,,SVK,SVK,73,196,L,2001,2,63,2005,12,8469514,Budaj,Peter,TBL,8,7,1,3,3,0,1,217,190,27,.876,3.76,-8.2,-8.5,-7.0,-6.3,25824,0,0,0,0,0,0,1,1,11.3%,3.76,9.23%,9.54,410.4,187,26,.878,3.80,2,2,28.6%,1,2,20.0,3,1,.750,3.00,,,,44,16,.636,98,10,75,1,.875,168,15,.911,42,11,.738,7,1,.857,.884,374,291,217,18.5,27,71,71,17,.907,.915,-8.5,55.3%,166,134,154,434,332,240,27,227,74,14,3,1,.929,0,1,,UFA,"$1,025,000","$1,025,000",1,112.6,0.3,32,Leg,400,365,246,158,131,40,903,9418,18,20,20144,117,41,50.7
3,1990/03/02,Barrie,ON,CAN,CAN,75,202,R,2008,3,77,2013,5,8474636,Hutchinson,Michael,WPG,3,3,0,2,1,0,0,75,68,7,.907,3.26,-0.5,1.0,0.1,-0.2,7725,0,0,1,1,0,0,0,0,12.3%,3.73,9.41%,9.81,128.8,68,7,.907,3.26,2,2,66.7%,1,1,0.0,0,0,.000,0.00,,,,22,4,.818,30,3,23,0,.922,55,5,.909,18,0,1.000,2,2,.000,.897,144,104,75,8.0,7,24,24,2,.933,.894,1.0,42.6%,43,58,49,111,81,65,8,51,20,3,,, ,,,,UFA,"$1,300,000","$1,150,000",3,118.8,0.4,9,Concussion,265,102,87,43,39,11,239,2644,3,0,5414,41,12,14.3
4,1988/01/05,Norrtälje,,SWE,SWE,76,187,L,,,,2013,5,8475663,Lack,Eddie,"CGY, NJD",8,5,3,2,4,0,0,177,154,23,.870,4.02,-7.7,-7.1,-6.8,-7.2,20617,0,0,0,0,0,0,0,0,9.9%,3.32,9.34%,9.03,262.2,125,19,.868,4.35,1,1,20.0%,2,1,81.4,29,4,.879,2.95,,,,38,11,.711,73,9,66,3,.871,130,12,.908,37,8,.784,10,3,.700,.884,312,251,177,15.9,23,46,46,11,.908,.910,-7.1,49.8%,110,111,118,352,280,192,19,176,60,8,,, ,,,,UFA,"$3,000,000","$2,750,000",3,115.9,0.2,,,,144,126,56,55,18,349,3832,9,2,7996,62,22,20.5
5,1988/02/11,Surrey,BC,CAN,CAN,74,215,L,,,,2013,5,8477202,Hammond,Andrew,COL,1,1,0,0,1,0,0,33,31,2,.939,2.06,0.9,2.0,1.0,0.5,3502,0,0,0,0,0,0,0,0,3.8%,1.03,8.98%,8.82,58.4,31,2,.939,2.06,1,1,100.0%,0,0,0.0,0,0,.000,0.00,,,,12,0,1.000,12,0,9,2,.911,27,2,.926,5,0,1.000,1,0,1.000,.939,61,46,33,4.0,2,12,12,0,.957,.878,2.0,53.8%,14,12,12,71,43,26,1,39,10,1,,, ,,,,UFA,"$1,500,000","$1,350,000",1,135.7,0.3,4,Concussion,195,56,49,27,15,6,119,1549,4,2,3092,33,5,10.8
6,1989/09/16,Lloydminster,SK,CAN,CAN,74,211,L,2008,4,93,2010,8,8474651,Holtby,Braden,WSH,54,54,0,34,16,0,4,1648,1495,153,.907,2.99,-10.4,-2.2,-9.3,-23.9,184068,0,0,0,0,2,1,1,0,11.8%,3.29,8.72%,8.76,3067.8,1495,153,.907,2.99,30,30,55.6%,9,7,0.0,0,0,.000,0.00,,,,388,91,.765,630,55,630,7,.910,1345,115,.914,263,33,.875,40,5,.875,.907,3123,2347,1648,150.8,153,654,654,99,.935,.908,-2.2,47.4%,910,1008,1088,2756,2050,1423,168,1449,522,74,9,1,.986,3,0,M-NTC,UFA,"$7,000,000","$6,100,000",25,115.0,8.3,4,Knee,195,361,353,225,89,35,831,10306,32,19,20678,211,45,68.2
7,1988/09/20,Novokuznetsk,,RUS,RUS,74,182,L,,,,2010,8,8475683,Bobrovsky,Sergei,CBJ,65,65,0,37,22,0,6,1993,1835,158,.921,2.42,14.5,32.8,16.5,1.8,234694,5,0,3,3,0,0,3,3,8.6%,2.81,8.75%,8.35,3911.6,1835,158,.921,2.42,38,39,60.0%,10,1,0.0,0,0,.000,0.00,,,,480,80,.833,714,57,789,20,.923,1698,111,.935,249,42,.831,46,5,.891,.918,3690,2729,1994,189.8,158,757,757,86,.942,.905,31.8,51.4%,1362,1289,1239,3843,2934,2129,183,1921,728,94,35,10,.894,4,4,NMC,UFA,"$6,500,000","$7,425,000",10,115.5,12.9,1,Illness,91,395,385,218,129,36,929,11607,24,18,22814,229,46,77.7
8,1988/12/22,Newport News,VA,USA,USA,78,232,L,2007,6,153,2014,4,8474152,Darling,Scott,CAR,43,40,3,13,21,0,7,1171,1040,131,.888,3.18,-29.7,-21.6,-28.0,-40.4,148507,0,0,0,0,2,1,2,1,7.2%,2.38,8.77%,8.49,2366.9,993,123,.890,3.12,14,15,37.5%,7,1,108.2,47,8,.855,4.44,,,,282,71,.748,451,44,438,16,.892,1018,105,.897,120,24,.800,33,2,.939,.884,2142,1664,1171,109.4,131,439,439,69,.921,.907,-21.6,58.5%,922,653,785,2616,1898,1354,98,1280,479,55,12,5,.909,2,3,M-NTC,UFA,"$4,750,000","$4,150,000",17,115.3,3.5,,,,118,104,52,38,16,292,3251,4,2,6557,54,13,17.9
9,1991/11/05,Perth,ON,CAN,CAN,78,220,L,,,,2016,2,8477225,Coreau,Jared,DET,7,7,0,0,5,0,1,203,176,27,.867,4.26,-9.4,-9.5,-9.5,-4.0,22826,0,0,0,0,0,0,0,0,7.8%,2.21,8.63%,9.73,380.4,176,27,.867,4.26,1,1,14.3%,2,1,0.0,0,0,.000,0.00,,,,44,11,.750,72,14,87,2,.862,175,20,.886,26,6,.769,2,1,.500,.858,370,280,203,17.5,27,76,76,14,.904,.914,-9.5,42.3%,104,142,105,333,244,179,14,171,72,8,,, ,,,,UFA,"$650,000","$612,500",1,110.9,0.1,1,Illness,7,21,21,5,9,4,68,565,2,0,1092,6,8,1.1
10,1980/07/17,East Lansing,MI,USA,USA,75,173,L,1999,5,138,2002,15,8468011,Miller,Ryan,ANA,28,21,7,12,6,0,6,739,686,53,.928,2.35,11.0,19.3,11.6,9.9,81196,4,0,0,0,0,0,0,0,8.8%,2.62,8.71%,9.07,1220.5,620,45,.932,2.21,13,13,61.9%,3,2,132.7,66,8,.892,3.62,,,,194,28,.856,278,22,267,3,.934,595,35,.941,126,17,.865,18,1,.944,.930,1335,1024,739,72.3,53,281,281,28,.948,.902,19.3,45.1%,415,506,399,1241,945,674,59,640,245,36,24,8,.778,2,4,M-NTC,UFA,"$2,000,000","$2,000,000",9,114.2,5.4,4,Upper body,195,737,593,370,268,80,1863,21999,43,48,42926,338,72,143.4
