,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHL,ESPN,DURABILITE,NHL,ESPN,PRODUCTION,,,,,,CONST/EVOL,,,,,,,GP,PTS,"PTS
/GP","$
/PTS",,,,TOT
Tier,Gardien,TM,#,AGE,12,13,14,15,16,GP (17),12,13,14,15,16,W (17),12,13,14,15,16,TO (17),12,13,14,15,16,SO (17),12,13,14,15,16,PTS (17),,,GP (18),,,PTS (18),12,13,14,15,16,PTS/GP (17),$/PTS *,$/PTS (18-19),STAT,SALARY,END,Commentaire,,,,,CONST,EVOL,,
3,Lundqvist Henrik,NYR,1,35,62,43,63,46,65,57,39,24,33,30,35,31,5,3,5,3,7,4,8,2,5,5,4,2,91,53,76,68,81,68,,,,66,59.8,63 ,1.47,1.23,1.21,1.48,1.25,1.19,"86,890","134,921",,"8,500,000",21,,4,6.8,6,1.5,2,1,,21.3
1,Bobrovsky Sergei,CBJ,1,29,29,38,58,51,37,63,14,21,32,30,15,41,2,6,5,3,1,5,0,4,5,2,1,7,30,52,74,65,32,94,,,,72,74,73 ,1.03,1.37,1.28,1.27,0.86,1.49,"60,687","101,712",,"7,425,000",19,,3,9.4,8,3,1,3,,27.4
2,Rask Tuukka,BOS,1,30,23,36,58,70,64,65,11,19,36,34,31,37,3,5,6,13,8,5,3,5,7,3,4,8,28,48,85,84,74,87,,,,70,69.8,70 ,1.22,1.33,1.47,1.20,1.16,1.34,"63,779","100,000",,"7,000,000",21,,4,8.7,8,3,3,3,,29.7
x,Rinne Pekka,NSH,1,35,73,43,24,64,66,61,43,15,10,41,34,31,8,8,3,6,10,9,5,5,2,4,4,3,99,43,25,92,82,74,,,,64,66,65 ,1.36,1.00,1.04,1.44,1.24,1.21,"70,369","107,692",,"7,000,000",19,,3,7.4,6,3,2,2,,23.4
x,Price Carey,MTL,1,30,65,39,59,66,12,62,26,21,34,44,10,37,11,4,5,6,0,5,4,3,6,9,2,3,67,49,79,103,22,82,,,,66,65.8,66 ,1.03,1.26,1.34,1.56,1.83,1.32,"59,935","98,485",,"6,500,000",18,,3,8.2,8,3,1,2,,25.2
x,Holtby Braden,WSH,1,28,7,36,48,73,66,63,4,23,23,41,48,42,1,1,4,10,7,6,1,4,4,9,3,9,10,51,54,101,106,99,,,,70,84,77 ,1.43,1.42,1.13,1.38,1.61,1.57,"47,339","79,221",,"6,100,000",20,,4,9.9,8,4.5,2,3,,31.4
x,Crawford Corey,CHI,1,33,57,30,59,57,58,55,30,19,32,32,35,32,7,5,10,5,5,4,0,3,2,2,7,2,67,46,76,71,82,70,,,,68,66,67 ,1.18,1.53,1.29,1.25,1.41,1.27,"57,491","89,552",,"6,000,000",20,,4,7.0,6,3,3,3,,26.0
5,Schneider Cory,NJD,1,31,33,30,45,69,58,60,20,17,16,26,27,20,1,4,12,9,6,11,3,5,3,5,4,2,44,43,47,66,64,53,,,,54,47,51 ,1.33,1.43,1.04,0.96,1.10,0.88,"82,835","117,647",,"6,000,000",22,,4,5.3,4,1.5,3,2,,19.8
,Varlamov Semyon,COL,1,29,53,35,63,57,57,24,26,11,41,28,27,6,3,3,6,8,3,0,4,3,2,5,2,1,59,28,90,69,59,13,,,,44,,44 ,1.11,0.80,1.43,1.21,1.04,0.54,"132,833","134,091",,"5,900,000",19,,3,1.3,2,1.5,1,1,,9.8
,Lehtonen Kari,DAL,2,34,59,36,65,65,43,59,32,15,33,34,25,22,4,3,10,10,2,7,4,1,5,5,2,3,72,34,81,83,54,54,,,,20,,20 ,1.22,0.94,1.25,1.28,1.26,0.92,"78,613","295,000",,"5,900,000",18,,4,5.4,4,1.5,3,1,,18.9
