"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"694","Alex Ovechkin","WSH","L","82","1894.3166666667","65","47","36","11","112","74.67","446","14.57","907","645","453","127","20","46","40","20","20","0","0","55","93","68","220","130","44","7","11","38.89"
"695","Evgeni Malkin","PIT","C","82","1748.0166666667","47","59","38","21","106","77.37","272","17.28","455","358","291","109","15","40","78","35","34","0","1","61","76","69","49","169","40","350","540","39.33"
"166","Jarome Iginla","CGY","R","82","1757.7333333333","50","48","28","20","98","72.06","338","14.79","560","455","322","124","14","35","83","29","23","5","1","48","64","47","98","103","10","245","200","55.06"
"321","Pavel Datsyuk","DET","C","82","1753.4333333333","31","66","44","22","97","67.36","264","11.74","438","361","239","91","18","21","20","10","10","0","0","47","68","144","40","92","42","453","380","54.38"
"232","Joe Thornton","S.J","C","82","1754.65","29","67","40","27","96","81.36","178","16.29","308","231","188","93","8","27","59","24","22","1","1","46","103","55","60","63","31","785","700","52.86"
"273","Vincent Lecavalier","T.B","C","81","1859.0833333333","40","52","27","25","92","74.80","318","12.58","532","415","278","108","23","26","89","36","32","3","1","36","67","52","112","60","21","815","856","48.77"
"362","Henrik Zetterberg","DET","L","75","1654.65","43","49","28","21","92","72.44","358","12.01","565","469","312","106","10","27","34","17","17","0","0","41","59","53","31","79","16","666","544","55.04"
"443","Jason Spezza","OTT","C","76","1570.7833333333","34","58","36","22","92","71.32","210","16.19","368","295","213","92","9","19","66","26","23","2","1","24","96","44","18","73","18","729","716","50.45"
"149","Daniel Alfredsson","OTT","R","70","1559.9","40","49","28","21","89","78.76","217","18.43","368","287","216","75","14","19","34","17","17","0","0","29","60","72","55","71","30","21","18","53.85"
"442","Ilya Kovalchuk","ATL","R","79","1696.7333333333","52","35","26","9","87","76.99","283","18.37","532","394","237","68","21","22","52","19","16","2","1","35","66","49","40","63","25","14","18","43.75"
