"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"172","Daniel Sedin","VAN","L","82","1521.35","41","63","34","29","104","80.00","266","15.41","452","358","269","142","12","23","32","16","16","0","0","15","48","36","13","65","12","4","13","23.53"
"124","Martin St. Louis","T.B","R","82","1720.05","31","68","47","21","99","77.95","254","12.20","450","349","255","107","27","24","12","6","6","0","0","34","71","55","37","90","64","50","81","38.17"
"399","Corey Perry","ANA","R","82","1829.6666666667","50","48","29","19","98","74.81","290","17.24","483","392","326","175","18","29","104","41","37","2","2","41","54","55","64","146","41","9","13","40.91"
"173","Henrik Sedin","VAN","C","82","1579.2833333333","19","75","45","30","94","70.68","157","12.10","257","199","154","74","8","13","40","20","20","0","0","15","38","43","15","37","21","721","666","51.98"
"786","Steven Stamkos","T.B","C","82","1655.3166666667","45","46","22","24","91","71.09","272","16.54","520","405","288","118","16","18","74","33","32","0","1","45","60","40","84","81","37","431","496","46.49"
"60","Jarome Iginla","CGY","R","82","1716.6666666667","43","43","26","17","86","77.48","289","14.88","518","391","267","107","18","26","40","17","15","2","0","26","70","40","103","100","28","227","193","54.05"
"470","Alex Ovechkin","WSH","L","79","1679.0666666667","32","53","30","23","85","77.27","367","8.72","774","526","344","94","27","47","41","19","18","1","0","39","59","48","241","157","23","6","12","33.33"
"7","Teemu Selanne","ANA","R","73","1309.5333333333","31","49","30","19","80","81.63","213","14.55","322","277","225","105","9","13","49","18","16","1","1","12","45","37","15","75","20","97","121","44.50"
"193","Henrik Zetterberg","DET","L","80","1566.7","24","56","35","21","80","76.19","306","7.84","541","432","306","105","11","19","40","20","20","0","0","24","60","54","38","115","19","516","468","52.44"
"145","Brad Richards","DAL","C","72","1564.1666666667","28","49","32","17","77","77.78","272","10.29","548","394","206","40","11","30","24","8","7","0","1","10","73","47","20","75","22","501","489","50.61"
"374","Eric Staal","CAR","C","81","1783.2666666667","33","43","26","17","76","64.96","296","11.15","540","429","303","141","23","35","72","31","30","0","1","30","44","64","81","101","31","840","911","47.97"
"390","Ryan Getzlaf","ANA","C","67","1464.15","19","57","27","30","76","68.47","117","16.24","236","182","137","50","5","11","35","16","15","1","0","14","81","35","189","76","57","542","641","45.82"
"659","Claude Giroux","PHI","C","82","1590.6166666667","25","51","34","17","76","77.55","169","14.79","303","233","202","89","8","23","47","18","16","1","1","43","44","48","117","101","44","548","547","50.05"
"687","Jonathan Toews","CHI","C","80","1661.1333333333","32","44","28","16","76","65.52","233","13.73","344","290","236","118","11","20","26","13","13","0","0","32","30","93","74","172","28","937","716","56.68"
"105","Patrick Marleau","S.J","C, L","82","1704.7666666667","37","36","17","19","73","65.18","279","13.26","470","365","262","117","20","31","16","8","8","0","0","13","66","35","86","87","31","288","261","52.46"
"377","Thomas Vanek","BUF","L","80","1387.65","32","41","23","18","73","70.87","238","13.45","383","324","275","172","25","28","24","12","12","0","0","29","45","43","30","42","12","8","18","30.77"
"394","Ryan Kesler","VAN","C","82","1680.55","41","32","22","10","73","61.34","260","15.77","496","375","312","160","16","41","66","29","28","0","1","37","21","65","124","120","80","859","637","57.42"
"402","Loui Eriksson","DAL","L","79","1624.95","27","46","27","19","73","76.84","179","15.08","285","244","206","104","12","11","8","4","4","0","0","23","34","72","26","116","46","1","3","25.00"
"562","Anze Kopitar","L.A","C","75","1619.05","25","48","30","18","73","77.66","233","10.73","410","315","190","83","8","18","20","10","10","0","0","28","40","62","92","146","45","579","581","49.91"
"753","Patrick Kane","CHI","R","73","1407.7833333333","27","46","24","22","73","74.49","216","12.50","378","287","216","78","14","16","28","13","13","0","0","24","40","55","17","105","17","2","12","14.29"
"144","Mike Ribeiro","DAL","C","82","1636.6","19","52","35","17","71","70.30","161","11.80","286","227","171","83","8","9","28","13","13","0","0","28","71","72","95","125","33","565","648","46.58"
"281","Patrick Sharp","CHI","L","74","1436.55","34","37","18","19","71","73.96","268","12.69","476","371","239","77","16","12","38","18","18","0","0","13","23","64","76","103","26","244","264","48.03"
"555","Bobby Ryan","ANA","R","82","1654.7333333333","34","37","25","12","71","66.36","270","12.59","423","358","255","120","16","16","59","24","22","1","1","39","42","62","156","122","34","87","132","39.73"
"104","Joe Thornton","S.J","C","80","1589.6166666667","21","49","33","16","70","62.50","149","14.09","261","201","164","75","12","12","47","18","16","1","1","21","98","114","56","70","35","675","565","54.44"
"136","Alex Tanguay","CGY","L","79","1561.1666666667","22","47","33","14","69","69.00","120","18.33","204","168","123","53","8","9","24","12","12","0","0","18","57","49","31","59","38","42","65","39.25"
"74","Daniel Briere","PHI","C","77","1408.95","34","34","19","15","68","70.83","246","13.82","386","307","235","119","10","26","87","37","35","1","1","37","16","33","36","77","17","395","425","48.17"
"235","Lubomir Visnovsky","ANA","D","81","1967.7166666667","18","50","18","32","68","46.58","152","11.84","339","231","93","14","2","17","24","12","12","0","0","8","45","30","52","76","116","0","0","-"
