"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"557","Aaron Ness","NYI","D","28","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"471","Aaron Palushaj","CAR","R","29","1989-09-07","Livonia","MI","USA","USA","72","187","2007","STL","2","14","44"
"210","Aaron Rome","DAL","D","35","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"697","Aaron Volpatti","WSH","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"688","Adam Almquist","DET","D","27","1991-02-27","Jönköping","","SWE","SWE","71","174","2009","DET","7","29","210"
"176","Adam Burish","S.J","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"330","Adam Cracknell","STL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"84","Adam Hall","PHI","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"570","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","197","2008","N.J","3","21","82"
"810","Adam Larsson","N.J","D","26","1992-11-12","Skellefteå","","SWE","SWE","75","208","2011","N.J","1","4","4"
"359","Adam McQuaid","BOS","D","32","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"319","Adam Pardy","WPG","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"827","Adam Payerl","PIT","C","27","1991-03-04","Kitchener","ON","CAN","CAN","75","218","-","-","-","-","-"
"511","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
"873","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"132","Ales Hemsky","EDM, OTT","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"620","Alex Chiasson","DAL","R","28","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"840","Alex Galchenyuk","MTL","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"299","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"464","Alex Grant","ANA","D","29","1989-01-20","Antigonish","NS","CAN","CAN","75","210","2007","PIT","4","27","118"
"796","Alex Khokhlachev","BOS","C","25","1993-09-09","Moscow","","RUS","RUS","70","181","2011","BOS","2","10","40"
"458","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"279","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"723","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","216","2010","FLA","2","6","36"
