"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"775","Tim Wallace","PIT","R","1","5.8333333333333","5.8333333333333","0","102.86","0.00","0","72","0.00","0","41.14","0.00","0","0","-","0","41.14","0.00","0","10.29","0.00","0","0","-","0","41.14","0.00","0","0","-","0","89.14","0.00","0","0","-","-","100.00","1.00","10.29","20.57","10.29","51.43","50.00","10.29","20.57","30.86","25.00"
"852","Johan Motin","EDM","D","1","14.133333333333","14.133333333333","33.96","97.64","25.81","21.23","84.91","20.00","16.98","67.92","20.00","0","4.25","0.00","12.74","42.45","23.08","0","16.98","0.00","0","0","-","16.98","33.96","33.33","0","0","-","30.66","61.32","33.33","0","6.13","0.00","0.00","93.75","0.938","8.49","12.74","12.74","55.19","40.00","12.74","12.74","21.23","37.50"
"246","Darren Haydar","COL","R","1","5.3666666666667","5.3666666666667","67.08","89.44","42.86","67.08","67.08","50.00","55.9","55.9","50.00","0","0","-","11.18","33.54","25.00","0","11.18","0.00","0","0","-","14.91","29.81","33.33","0","0","-","64.6","48.45","57.14","0","0","-","0.00","100.00","1.000","22.36","0","11.18","44.72","66.67","33.54","11.18","11.18","75.00"
"725","Arturs Kulda","ATL","D","4","47.95","11.9875","52.55","85.09","38.18","42.54","58.81","41.98","28.78","50.05","36.51","5.01","2.5","66.67","23.77","40.04","37.25","6.26","11.26","35.71","2.5","0","100.00","23.36","38.37","37.84","3.34","3.34","50.00","41.57","59.65","41.07","0","0","-","17.39","95.00","1.124","8.76","8.76","10.01","66.32","46.67","18.77","18.77","16.27","53.57"
"806","Dustin Jeffrey","PIT","L","1","8.5833333333333","8.5833333333333","27.96","83.88","25.00","27.96","62.91","30.77","27.96","55.92","33.33","0","0","-","20.97","41.94","33.33","13.98","6.99","66.67","0","0","-","9.32","46.6","16.67","0","0","-","10.1","40.39","20.00","0","0","-","0.00","100.00","1.000","6.99","13.98","0","48.93","100.00","13.98","13.98","6.99","66.67"
"387","Joe Callahan","S.J","D","1","9.5666666666667","9.5666666666667","18.82","81.53","18.75","18.82","50.17","27.27","12.54","31.36","28.57","6.27","0","100.00","6.27","43.9","12.50","0","6.27","0.00","0","0","-","8.36","50.17","14.29","0","0","-","18.12","54.36","25.00","9.06","0","100.00","50.00","100.00","1.500","6.27","0","12.54","56.45","33.33","12.54","0","31.36","28.57"
"129","Brian Willsie","COL","R","4","44.35","11.0875","35.17","78.47","30.95","28.41","56.82","33.33","21.65","39.23","35.56","1.35","2.71","33.33","13.53","44.64","23.26","6.76","25.7","20.83","1.35","2.71","33.33","9.02","25.25","26.32","0","0","-","23.45","44.95","34.29","0","0","-","6.25","93.10","0.994","6.76","9.47","16.23","58.17","29.41","12.18","13.53","25.7","32.14"
"427","Andre Deveaux","TOR","C","1","6.15","6.15","48.78","78.05","38.46","29.27","68.29","30.00","19.51","58.54","25.00","0","9.76","0.00","9.76","58.54","14.29","0","19.51","0.00","0","0","-","13.01","52.03","20.00","0","13.01","0.00","56.37","14.09","80.00","0","0","-","0.00","83.33","0.833","9.76","9.76","9.76","68.29","50.00","9.76","9.76","9.76","50.00"
"403","Gregory Campbell","FLA","C","60","923.83333333333","15.397222222222","40.66","77.48","34.41","31.69","55.07","36.53","22.99","39.29","36.91","1.75","3.44","33.75","19.29","35.85","34.98","9.48","13.38","41.48","0.97","1.49","39.47","13.08","29.96","30.38","0.35","1.47","19.05","25.89","52.25","33.13","0.38","1.22","23.53","7.63","91.24","0.989","9.03","12.53","15.72","47.93","36.48","12.21","18.25","26.04","31.92"
"584","JT Wyman","MTL","R","3","13.166666666667","4.3888888888889","22.78","77.47","22.73","13.67","59.24","18.75","9.11","45.57","16.67","0","9.11","0.00","4.56","36.46","11.11","0","27.34","0.00","0","9.11","0.00","6.08","12.15","33.33","0","0","-","19.75","39.49","33.33","0","0","-","0.00","80.00","0.800","4.56","0","13.67","72.91","25.00","4.56","9.11","27.34","14.29"
"71","Ethan Moreau","EDM","L","76","1094.8666666667","14.406140350877","41.87","76.72","35.30","31.07","56.88","35.33","23.18","40.61","36.34","1.7","3.4","33.33","16.88","34.47","32.87","5.59","13.43","29.39","0.88","1.81","32.65","15.05","28.06","34.92","0.44","1.1","28.57","29.6","52.56","36.03","0.71","1.11","39.13","7.33","91.63","0.990","7.95","12.39","15.45","43.46","33.96","14.3","19.07","25.81","35.66"
"77","Jason Strudwick","EDM","D","72","1219.4333333333","16.936574074074","39.12","75.97","33.99","30.31","56.19","35.04","22.54","39.12","36.55","1.87","4.08","31.40","18.06","35.08","33.98","7.43","14.17","34.40","1.18","1.87","38.71","14.17","27.88","33.70","0.52","2.1","20.00","26.23","49.96","34.42","0.36","0.92","27.78","8.30","89.56","0.979","5.66","11.17","14.07","49.5","28.68","13.33","18.8","23.91","35.80"
"132","Fernando Pisani","EDM","R","40","583.45","14.58625","41.34","75.58","35.36","30.23","57.79","34.35","22.21","39.9","35.76","1.44","4.11","25.93","16.76","35.58","32.02","6.58","15.22","30.19","0.82","2.26","26.67","13.57","27.15","33.33","0.27","1.37","16.67","27.63","48.72","36.19","0.59","1.19","33.33","6.48","89.69","0.962","8.84","15.22","14.09","43.19","38.57","15.63","20.98","23.86","39.58"
"73","Ryan Johnson","VAN","C","58","615.96666666667","10.620114942529","29.32","75.49","27.97","23.28","54.45","29.95","16.36","38.48","29.84","0.88","3.99","18.00","11.98","34.58","25.73","4.97","15.39","24.40","0.49","2.82","14.71","9.35","25.59","26.77","0.26","0.65","28.57","21.39","50.51","29.75","0.28","0.98","22.22","5.36","89.62","0.950","6.43","11.98","24.74","50.55","20.63","9.74","17.53","35.85","21.37"
"75","Richard Park","NYI","R","81","1275.8833333333","15.751646090535","42.7","75.38","36.16","33.34","53.37","38.45","24.64","38.04","39.31","2.07","4.47","31.65","21.73","37.2","36.87","9.17","14.72","38.39","1.22","2.3","34.67","16.74","29.97","35.84","0.56","1.63","25.71","24.93","47.01","34.66","0.61","1.15","34.62","8.40","88.26","0.967","8.32","16.13","21.44","36.77","27.96","12.51","20.74","34.24","26.76"
"575","Casey Borer","CAR","D","2","21.516666666667","10.758333333333","44.62","75.29","37.21","27.89","47.41","37.04","25.1","36.25","40.91","0","2.79","0.00","25.1","47.41","34.62","5.58","8.37","40.00","0","2.79","0.00","26.03","52.05","33.33","0","0","-","20.14","32.22","38.46","0","0","-","0.00","92.31","0.923","8.37","16.73","2.79","61.35","75.00","13.94","22.31","2.79","83.33"
"677","T.J. Hensick","COL","C","7","66.116666666667","9.4452380952381","37.21","74.41","33.33","27.22","50.82","34.88","19.96","39.02","33.85","3.63","2.72","57.14","15.43","46.28","25.00","7.26","13.61","34.78","2.72","1.81","60.00","10.89","43.56","20.00","1.21","1.21","50.00","23.59","35.39","40.00","0","0","-","18.18","93.02","1.112","9.98","9.98","9.07","64.43","52.38","14.52","15.43","18.15","44.44"
"510","Nate Thompson","NYI, T.B","C","71","951.33333333333","13.399061032864","35.76","74.3","32.49","28.7","51.97","35.57","21.19","36.77","36.56","1.01","4.41","18.60","16.97","32.8","34.09","7.76","13.62","36.28","0.32","2.59","10.87","12.28","25.56","32.44","0.34","1.09","23.53","22.78","51.56","30.64","0.64","1.37","31.82","4.76","87.99","0.928","5.3","16.71","26.55","39.29","16.63","8.51","23.02","38.85","17.98"
"794","Zach Hamill","BOS","C","1","12.133333333333","12.133333333333","34.62","74.18","31.82","29.67","44.51","40.00","19.78","39.56","33.33","4.95","0","100.00","19.78","34.62","36.36","9.89","14.84","40.00","4.95","0","100.00","13.19","26.37","33.33","0","0","-","14.29","50","22.22","0","0","-","25.00","100.00","1.250","9.89","9.89","0","54.4","100.00","9.89","14.84","0","100.00"
"695","Mario Bliznak","VAN","C","2","17.033333333333","8.5166666666667","35.23","73.97","32.26","28.18","59.88","32.00","24.66","42.27","36.84","0","7.05","0.00","7.05","42.27","14.29","0","24.66","0.00","0","3.52","0.00","9.39","23.48","28.57","0","0","-","30.53","40.7","42.86","0","0","-","0.00","83.33","0.833","10.57","21.14","7.05","49.32","60.00","17.61","24.66","28.18","38.46"
"503","Greg Moore","CBJ","R","4","23.6","5.9","38.14","73.73","34.09","20.34","50.85","28.57","15.25","35.59","30.00","0","0","-","12.71","33.05","27.78","10.17","10.17","50.00","0","0","-","3.39","30.51","10.00","0","0","-","25.71","58.76","30.43","0","0","-","0.00","100.00","1.000","5.08","5.08","10.17","58.47","33.33","5.08","7.63","20.34","20.00"
"44","Brendan Witt","NYI","D","42","640.25","15.244047619048","44.61","73.1","37.90","31.58","54.17","36.83","23.62","40.95","36.57","1.22","4.87","20.00","23.24","36.83","38.69","9.65","15.84","37.87","0.47","2.62","15.15","18.12","27.99","39.30","0.62","1.37","31.25","23.69","44.53","34.72","0.27","1.62","14.29","5.16","88.10","0.933","6.93","10.31","12.65","45.54","35.41","12.37","15.56","22.96","35.01"
"269","Nathan Smith","MIN","C","9","70.6","7.8444444444444","28.05","73.09","27.73","18.7","59.49","23.91","10.2","43.34","19.05","0","4.25","0.00","11.05","39.94","21.67","4.25","14.45","22.73","0","1.7","0.00","9.07","33.99","21.05","0","2.27","0.00","22.1","41.74","34.62","0","0","-","0.00","90.20","0.902","7.65","14.45","13.6","61.19","36.00","11.05","18.7","22.95","32.50"
"496","Corey Locke","NYR","C","3","18.9","6.3","25.4","73.02","25.81","19.05","57.14","25.00","12.7","44.44","22.22","3.17","0","100.00","9.52","25.4","27.27","3.17","12.7","20.00","3.17","0","100.00","8.47","16.93","33.33","0","0","-","13.76","45.86","23.08","0","0","-","25.00","100.00","1.250","15.87","9.52","6.35","63.49","71.43","22.22","12.7","9.52","70.00"
"707","Clay Wilson","FLA","D","2","22.233333333333","11.116666666667","43.18","72.86","37.21","35.08","64.77","35.14","18.89","51.27","26.92","0","13.49","0.00","18.89","40.48","31.82","8.1","18.89","30.00","0","10.79","0.00","14.39","28.79","33.33","0","0","-","27.29","46.78","36.84","0","3.9","0.00","0.00","73.68","0.737","5.4","16.19","13.49","51.27","28.57","8.1","24.29","24.29","25.00"
"518","Jay Rosehill","TOR","L","15","93.55","6.2366666666667","34.63","71.83","32.53","28.86","50.03","36.59","18.6","33.35","35.80","1.92","3.21","37.50","18.6","25.65","42.03","8.34","9.62","46.43","0.64","2.57","20.00","13.68","21.38","39.02","1.71","0.86","66.67","19.45","60.22","24.42","0","0","-","10.34","90.38","1.007","10.9","15.39","6.41","60.93","62.96","16.03","25.01","14.11","53.19"
"607","Andrew Gordon","WSH","R","2","13.366666666667","6.6833333333333","49.38","71.82","40.74","40.4","49.38","45.00","31.42","40.4","43.75","4.49","13.47","25.00","13.47","44.89","23.08","4.49","22.44","16.67","0","13.47","0.00","11.97","29.93","28.57","5.99","0","100.00","51.87","32.42","61.54","0","0","-","14.29","66.67","0.810","13.47","8.98","4.49","44.89","75.00","26.93","8.98","22.44","54.55"
"660","Taylor Chorney","EDM","D","42","730.45","17.391666666667","40","71.79","35.78","30.8","55.12","35.85","22.51","39.43","36.34","1.4","3.45","28.81","16.92","32.94","33.94","7.8","13.64","36.40","1.15","1.81","38.89","12.16","25.74","32.08","0.22","1.53","12.50","27.88","48.17","36.66","0.12","0.71","14.29","6.20","91.25","0.975","5.59","12.16","11.34","50.35","33.01","12.16","17.91","21.69","35.92"
"861","Evan Oberg","VAN","D","2","12.566666666667","6.2833333333333","47.75","71.62","40.00","28.65","47.75","37.50","19.1","38.2","33.33","0","0","-","23.87","23.87","50.00","0","4.77","0.00","0","0","-","31.83","25.46","55.56","0","0","-","34.48","62.07","35.71","0","0","-","0.00","100.00","1.000","19.1","4.77","0","62.07","100.00","19.1","19.1","4.77","80.00"
