"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"534","Aaron Gagnon","DAL","C","32","1986-04-24","Quesnel","BC","CAN","CAN","71","186","2004","PHX","8","13","240"
"722","Aaron Palushaj","MTL","R","29","1989-09-07","Livonia","MI","USA","USA","72","187","2007","STL","2","14","44"
"363","Aaron Rome","VAN","D","35","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"875","Aaron Volpatti","VAN","L","33","1985-05-30","Revelstoke","BC","CAN","CAN","72","215","-","-","-","-","-"
"300","Aaron Voros","ANA","L","37","1981-07-02","Vancouver","BC","CAN","CAN","74","210","2001","N.J","8","2","229"
"319","Adam Burish","DAL","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"539","Adam Cracknell","STL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"5","Adam Foote","COL","D","47","1971-07-10","Toronto","ON","CAN","CAN","74","220","1989","QUE","2","1","22"
"182","Adam Hall","T.B","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"817","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","197","2008","N.J","3","21","82"
"118","Adam Mair","N.J","C","39","1979-02-15","Hamilton","ON","CAN","CAN","73","208","1997","TOR","4","4","84"
"582","Adam McQuaid","BOS","D","32","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"519","Adam Pardy","CGY","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"21","Adrian Aucoin","PHX","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"764","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
