"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"605","Andrew Agozzino","COL","L","1","9.75","9.75","0","6.15","0","6.15","6.15","100.00","6.15","0.00","12.31","12.31","6.15","6.15","0","6.15","0","0","0","0","0","0","0","6.15","6.15","0","0","0","12.31","0.00"
"722","Michael Paliotta","CHI","D","1","12.75","12.75","0","4.71","0","4.71","4.71","100.00","9.41","0.00","14.12","14.12","0","0","0","0","0","0","0","0","0","0","0","0","0","9.41","9.41","0","0","-"
"437","Keaton Ellerby","WPG","D","1","16.966666666667","16.966666666667","0","3.54","0","3.54","3.54","inf","0","-","3.54","0","0","0","0","0","0","0","0","0","0","0","3.54","0","3.54","10.61","3.54","0","0","-"
"354","Tom Sestito","VAN","L","3","18.716666666667","6.2388888888889","0","3.21","0","3.21","3.21","100.00","3.21","0.00","6.41","6.41","3.21","3.21","0","0","22.44","6.41","3.21","3.21","0","16.03","0","0","32.06","6.41","0","0","0","-"
"718","Shane Prince","OTT","L","2","20.95","10.475","0","2.86","0","2.86","2.86","100.00","5.73","0.00","17.18","11.46","11.46","5.73","0","0","0","0","0","0","0","0","0","0","5.73","5.73","0","0","0","-"
"683","Michael Sgarbossa","COL","C","3","21.283333333333","7.0944444444444","0","2.82","0","2.82","2.82","33.33","5.64","0.00","16.91","8.46","5.64","0","0","0","28.19","2.82","0","0","2.82","8.46","0","0","0","5.64","2.82","25.37","31.01","126.86"
"250","Peter Regin","CHI","C","4","33.333333333333","8.3333333333333","0","1.8","0","1.8","1.8","100.00","5.4","0.00","9","9","5.4","5.4","0","0","0","0","0","0","0","3.6","0","5.4","5.4","12.6","0","1.8","1.8","90.00"
"780","Daniil Tarasov","S.J","R","5","37.85","7.57","0","1.59","0","1.59","1.59","50.00","7.93","0.00","11.1","9.51","6.34","1.59","0","0","0","0","0","0","0","0","0","1.59","3.17","1.59","1.59","1.59","0","158.52"
"692","Taylor Fedun","S.J","D","7","118.91666666667","16.988095238095","0","2.02","0.5","1.51","2.02","80.00","6.05","0.00","13.12","8.58","4.04","1.01","0","1.01","2.02","1.01","1.01","0","0","2.02","1.01","1.51","0","10.6","4.04","0","0","-"
"508","Sean Collins","CBJ","C","8","82.666666666667","10.333333333333","0","1.45","0","1.45","1.45","66.67","2.9","0.00","5.08","3.63","2.9","0.73","0","0","1.45","0.73","0.73","0","0","0.73","0","0","13.06","6.53","0","1.45","2.18","29.03"
"845","Emile Poirier","CGY","L","6","47.9","7.9833333333333","0","1.25","0","1.25","1.25","100.00","2.51","0.00","7.52","5.01","2.51","0","1.25","0","0","0","0","0","0","2.51","0","3.76","8.77","8.77","1.25","0","1.25","0.00"
"689","Kael Mouillierat","NYI","L","6","52.066666666667","8.6777777777778","1.15","1.15","0","1.15","2.3","100.00","1.15","100.00","4.61","3.46","2.3","1.15","0","0","9.22","3.46","3.46","0","0","0","0","4.61","9.22","3.46","3.46","18.44","20.74","54.23"
"372","Frédéric St-Denis","CBJ","D","4","53.183333333333","13.295833333333","0","1.13","0","1.13","1.13","100.00","2.26","0.00","9.03","2.26","3.38","1.13","0","0","0","0","0","0","0","2.26","0","0","2.26","3.38","2.26","0","0","-"
"93","Jason Spezza","DAL","C","82","1412.25","17.22256097561","0.72","1.91","0.81","1.1","2.63","63.92","8.67","8.33","17.5","13.3","8.41","3.44","0.42","1.32","1.19","0.59","0.59","0","0","0.72","3.19","2.17","0.68","2.8","1.1","28.98","24.64","2.30"
"431","Jakub Voracek","PHI","R","82","1524.6333333333","18.593089430894","0.87","2.32","1.22","1.1","3.19","76.42","8.7","9.95","16.69","11.45","7.32","2.95","0.31","1.14","3.07","1.1","0.94","0.08","0.08","1.18","1.65","1.34","2.16","5.47","1.1","0.24","0.12","2.62"
"355","Derick Brassard","NYR","C","80","1391.6","17.395","0.82","1.77","0.69","1.08","2.59","68.97","7.24","11.31","12.12","9.36","6.64","3.1","0.26","0.26","1.47","0.73","0.73","0","0","0.91","1.64","1.81","4.57","2.63","0.56","28.93","30.4","2.10"
"56","Henrik Sedin","VAN","C","82","1526.1833333333","18.611991869919","0.71","2.16","1.1","1.06","2.87","70.87","3.97","17.82","6.49","5.11","4.25","2.2","0.31","0.24","0.86","0.43","0.43","0","0","0.55","1.49","1.3","0.98","2.63","0.94","27.68","33.85","1.77"
