Name;Prospect;Team;type;value
ELIASPETTERSSON;Elias Pettersson;VAN;o;140.6
CASEYMITTELSTADT;Casey Mittelstadt;BUF;o;136.5
ANDREISVECHNIKOV;Andrei Svechnikov;CAR;o;130.1
EELITOLVANEN;Eeli Tolvanen;NSH;o;128.0
DYLANSTROME;Dylan Strome;ARI;o;119.8
MARTINNECAS;Martin Necas;CAR;o;119.3
HENRIKBORGSTROM;Henrik Borgstrom;FLA;t;118.1
FILIPZADINA;Filip Zadina;DET;o;116.6
RYANDONATO;Ryan Donato;BOS;o;110.9
GABRIELVILARDI;Gabriel Vilardi;LAK;o;105.8
ROBERTTHOMAS;Robert Thomas;STL;t;105.1
JORDANKYROU;Jordan Kyrou;STL;o;103.5
OLIVERWAHLSTROM;Oliver Wahlstrom;NYI;o;101.4
BRADYTKACHUK;Brady Tkachuk;OTT;p;100.0
JESPERIKOTKANIEMI;Jesperi Kotkaniemi;MON;o;99.5
FILIPCHYTIL;Filip Chytil;NYR;o;92.5
JACKROSLOVIC;Jack Roslovic;WPG;t;92.4
CODYGLASS;Cody Glass;VGK;o;91.2
NICKSUZUKI;Nick Suzuki;MON;t;86.3
DANIELSPRONG;Daniel Sprong;PIT;o;85.1
SAMSTEEL;Sam Steel;ANA;o;81.7
DYLANSIKURA;Dylan Sikura;CHI;o;74.9
KRISTIANVESALAINEN;Kristian Vesalainen;WPG;p;74.7
KAILERYAMAMOTO;Kailer Yamamoto;EDM;os;74.5
MORGANFROST;Morgan Frost;PHI;o;73.1
JONATHANDAHLEN;Jonathan Dahlen;VAN;o;72.1
JOELERIKSSONEK;Joel Eriksson Ek;MIN;o;71.1
TROYTERRY;Troy Terry;ANA;o;70.4
JORDANGREENWAY;Jordan Greenway;MIN;p;69.9
COLINWHITE;Colin White;OTT;o;69.1
DRAKEBATHERSON;Drake Batherson;OTT;p;68.3
TAGETHOMPSON;Tage Thompson;BUF;o;68.1
VLADISLAVKAMENEV;Vladislav Kamenev;COL;t;68.0
LUKEKUNIN;Luke Kunin;MIN;o;67.5
LIASANDERSSON;Lias Andersson;NYR;t;67.5
LOGANBROWN;Logan Brown;OTT;o;67.3
ANTHONYCIRELLI;Anthony Cirelli;TBL;t;66.9
KIRILLKAPRIZOV;Kirill Kaprizov;MIN;os;66.8
JTCOMPHER;J.T. Compher;COL;t;66.5
OWENTIPPETT;Owen Tippett;FLA;o;66.4
KASPERIKAPANEN;Kasperi Kapanen;TOR;o;66.2
JOSHHOSANG;Josh Ho-Sang;NYI;o;66.1
VITALIKRAVTSOV;Vitali Kravtsov;NYR;o;65.8
VALERINICHUSHKIN;Valeri Nichushkin;DAL;o;65.7
MICHAELRASMUSSEN;Michael Rasmussen;DET;p;65.5
ADAMGAUDETTE;Adam Gaudette;VAN;o;64.4
VITALIABRAMOV;Vitali Abramov;CBJ;os;64.3
NIKOLAYGOLDOBIN;Nikolay Goldobin;VAN;o;64.3
NICKMERKLEY;Nick Merkley;ARI;o;64.1
MICHAELMCLEOD;Michael McLeod;NJD;t;63.9
ALEXANDERNYLANDER;Alexander Nylander;BUF;o;63.8
DENISMALGIN;Denis Malgin;FLA;os;63.6
TYDELLANDREA;Ty Dellandrea;DAL;o;63.6
ALEKSIHEPONIEMI;Aleksi Heponiemi;FLA;o;63.6
EVGENYSVECHNIKOV;Evgeny Svechnikov;DET;o;62.9
DANIELOREGAN;Daniel O'Regan;BUF;t;62.6
ANDREASJOHNSSON;Andreas Johnsson;TOR;o;62.2
JARETANDERSONDOLAN;Jaret Anderson-Dolan;LAK;o;61.7
ANDREWMANGIAPANE;Andrew Mangiapane;CGY;o;61.6
ANDERSBJORK;Anders Bjork;BOS;t;61.6
BARRETTHAYTON;Barrett Hayton;ARI;t;61.3
JAKOBFORSBACKAKARLSSON;Jakob Forsbacka Karlsson;BOS;t;60.8
NIKITASCHERBAK;Nikita Scherbak;MON;o;60.3
MARTINKAUT;Martin Kaut;COL;t;60.2
TYLERBERTUZZI;Tyler Bertuzzi;DET;p;60.2
KIEFFERBELLOWS;Kieffer Bellows;NYI;p;59.8
LAWSONCROUSE;Lawson Crouse;ARI;p;59.8
AUSTINCZARNIK;Austin Czarnik;CGY;os;59.4
VALENTINZYKOV;Valentin Zykov;CAR;o;59.2
JOELFARABEE;Joel Farabee;PHI;t;59.0
NICOLASROY;Nicolas Roy;CAR;t;58.4
BORISKATCHOUK;Boris Katchouk;TBL;t;58.1
NICOLASPETAN;Nicolas Petan;WPG;os;57.8
ALEKSISAARELA;Aleksi Saarela;CAR;o;57.2
ZACHASTONREESE;Zach Aston-Reese;PIT;o;57.1
WARRENFOEGELE;Warren Foegele;CAR;o;56.6
TAYLORRADDYSH;Taylor Raddysh;TBL;p;56.5
RASMUSKUPARI;Rasmus Kupari;LAK;o;56.3
GERMANRUBTSOV;German Rubtsov;PHI;t;55.7
JASONDICKINSON;Jason Dickinson;DAL;t;55.0
GRIGORIDENISENKO;Grigori Denisenko;FLA;o;55.0
ZACHSENYSHYN;Zach Senyshyn;BOS;o;54.9
DOMINIKSIMON;Dominik Simon;PIT;o;54.8
JULIENGAUTHIER;Julien Gauthier;CAR;o;54.1
JONATHANDAVIDSSON;Jonathan Davidsson;CBJ;o;53.7
PATRICKHARPER;Patrick Harper;NSH;os;53.5
