"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"228","Aaron Downey","DET","R","44","1974-08-27","Shelburne","ON","CAN","CAN","73","215","-","-","-","-","-"
"478","Aaron Johnson","NYI","D","35","1983-04-30","Port Hawkesbury","NS","CAN","CAN","73","204","2001","CBJ","3","22","85"
"42","Aaron Miller","VAN","D","47","1971-08-11","Buffalo","NY","USA","USA","75","210","1989","NYR","5","4","88"
"581","Aaron Rome","CBJ","D","35","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"505","Aaron Voros","MIN","L","37","1981-07-02","Vancouver","BC","CAN","CAN","74","210","2001","N.J","8","2","229"
"53","Aaron Ward","BOS","D","45","1973-01-17","Windsor","ON","CAN","CAN","74","209","1991","WIN","1","5","5"
"729","Adam Berti","CHI","L","32","1986-07-01","Scarborough","ON","CAN","CAN","75","205","2004","CHI","3","3","68"
"532","Adam Burish","CHI","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"31","Adam Foote","CBJ, COL","D","47","1971-07-10","Toronto","ON","CAN","CAN","74","220","1989","QUE","2","1","22"
"346","Adam Hall","PIT","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"249","Adam Mair","BUF","C","39","1979-02-15","Hamilton","ON","CAN","CAN","73","208","1997","TOR","4","4","84"
"719","Adam Pineault","CBJ","R","32","1986-05-23","Holyoke","MA","USA","USA","73","201","2004","CBJ","2","16","46"
"85","Adrian Aucoin","CGY","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"116","Alain Nasreddine","PIT","D","43","1975-07-10","Montreal","QC","CAN","CAN","73","204","1993","FLA","6","5","135"
"450","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"320","Ales Kotalik","BUF","R","39","1978-12-23","Jindrichuv Hradec","","CZE","CZE","73","225","1998","BUF","6","19","164"
"808","Alex Foster","TOR","C","34","1984-08-26","Canton","MI","USA","USA","72","200","-","-","-","-","-"
"391","Alex Frolov","L.A","L","36","1982-06-19","Moscow","","RUS","RUS","74","210","2000","L.A","1","20","20"
"726","Alex Goligoski","PIT","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"58","Alex Kovalev","MTL","R","45","1973-02-24","Togliatti","","RUS","RUS","74","222","1991","NYR","1","15","15"
"694","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"280","Alex Tanguay","CGY","L","39","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
