"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"855","Matt Fraser","DAL","R","1","3.95","3.95","30.38","121.52","20.00","15.19","75.95","16.67","15.19","45.57","25.00","0","0","-","15.19","15.19","50.00","0","0","-","0","0","-","20.25","20.25","50.00","0","0","-","0","109.7","0.00","0","0","-","0.00","100.00","1.000","0","0","0","106.33","-","0","15.19","0","-"
"879","Carter Camper","BOS","C","3","20.1","6.7","20.9","110.45","15.91","14.93","71.64","17.24","11.94","56.72","17.39","2.99","0","100.00","5.97","62.69","8.70","2.99","32.84","8.33","2.99","0","100.00","3.98","39.8","9.09","0","0","-","12.94","56.05","18.75","0","0","-","25.00","100.00","1.250","8.96","14.93","2.99","65.67","75.00","11.94","17.91","23.88","33.33"
"422","Victor Oreskovich","VAN","R","1","6.2833333333333","6.2833333333333","19.1","105.04","15.38","19.1","85.94","18.18","19.1","76.39","20.00","9.55","0","100.00","9.55","38.2","20.00","0","0","-","0","0","-","12.73","50.93","20.00","12.73","0","100.00","13.79","96.55","12.50","0","0","-","50.00","100.00","1.500","9.55","0","19.1","57.29","33.33","9.55","9.55","19.1","33.33"
"199","Colton Orr","TOR","R","5","22.4","4.48","34.82","93.75","27.08","26.79","64.29","29.41","21.43","37.5","36.36","2.68","0","100.00","21.43","48.21","30.77","5.36","21.43","20.00","2.68","0","100.00","21.43","35.71","37.50","0","0","-","11.61","58.04","16.67","0","0","-","12.50","100.00","1.125","8.04","24.11","21.43","50.89","27.27","8.04","32.14","26.79","23.08"
"741","Cody Goloubef","CBJ","D","1","6","6","50","90","35.71","40","70","36.36","40","50","44.44","10","0","100.00","30","10","75.00","10","0","100.00","10","0","100.00","26.67","13.33","66.67","0","0","-","28.89","86.67","25.00","0","0","-","25.00","100.00","1.250","0","0","20","90","0.00","0","10","20","0.00"
"395","Bryan Rodney","EDM","D","1","13.283333333333","13.283333333333","40.65","85.82","32.14","18.07","81.3","18.18","9.03","63.24","12.50","0","4.52","0.00","9.03","54.2","14.29","0","22.58","0.00","0","4.52","0.00","12.05","42.16","22.22","0","0","-","19.57","39.15","33.33","0","0","-","0.00","92.86","0.929","9.03","0","4.52","81.3","66.67","13.55","4.52","9.03","60.00"
"817","Peter Holland","ANA","C","4","30.816666666667","7.7041666666667","31.15","85.67","26.67","29.2","79.83","26.79","21.42","58.41","26.83","3.89","3.89","50.00","13.63","36.99","26.92","9.73","23.36","29.41","3.89","3.89","50.00","5.19","18.17","22.22","0","0","-","22.5","59.06","27.59","0","0","-","18.18","93.33","1.115","5.84","19.47","5.84","56.46","50.00","7.79","19.47","11.68","40.00"
"847","Brenden Dillon","DAL","D","1","19.983333333333","19.983333333333","63.05","81.07","43.75","51.04","60.05","45.95","42.04","33.03","56.00","0","6.01","0.00","30.03","42.04","41.67","12.01","18.02","40.00","0","0","-","24.02","32.03","42.86","0","0","-","39.03","56.38","40.91","0","8.67","0.00","0.00","81.82","0.818","3","12.01","12.01","54.05","20.00","15.01","15.01","24.02","38.46"
"566","Rhett Rakhshani","NYI","R","5","60.733333333333","12.146666666667","45.44","80.02","36.22","37.54","54.34","40.86","17.78","37.54","32.14","0.99","0.99","50.00","22.72","24.7","47.92","9.88","9.88","50.00","0","0","-","17.12","19.76","46.43","0","0","-","19.98","51.37","28.00","1.43","1.43","50.00","5.56","97.37","1.029","12.84","13.83","7.9","46.43","61.90","16.79","16.79","19.76","45.95"
"651","Cody Almond","MIN","C","10","102.13333333333","10.213333333333","37.6","79.31","32.16","26.44","58.16","31.25","17.04","34.07","33.33","0.59","3.52","14.29","15.27","39.95","27.66","4.7","17.04","21.62","0","2.35","0.00","14.1","30.55","31.58","0.78","1.57","33.33","25.46","44.13","36.59","0","0","-","3.45","89.66","0.931","9.99","9.4","7.64","53.46","56.67","14.69","14.1","18.8","43.86"
"824","Reilly Smith","DAL","R","3","25.2","8.4","57.14","78.57","42.11","38.1","61.9","38.10","28.57","42.86","40.00","0","7.14","0.00","33.33","35.71","48.28","7.14","14.29","33.33","0","0","-","34.92","28.57","55.00","0","9.52","0.00","27.51","55.03","33.33","0","0","-","0.00","83.33","0.833","7.14","16.67","9.52","59.52","42.86","14.29","19.05","21.43","40.00"
"178","Jeff Taffe","MIN","L","5","64.55","12.91","50.19","75.29","40.00","35.32","55.77","38.78","24.17","39.97","37.68","3.72","1.86","66.67","20.45","31.6","39.29","5.58","13.94","28.57","1.86","1.86","50.00","19.83","23.55","45.71","1.24","0","100.00","40.28","49.68","44.78","1.34","0","100.00","15.38","95.35","1.107","11.15","13.94","13.01","48.33","46.15","20.45","19.52","26.03","44.00"
"532","Kris Fredheim","MIN","D","3","35.933333333333","11.977777777778","25.05","75.14","25.00","21.71","50.09","30.23","16.7","30.06","35.71","0","3.34","0.00","10.02","30.06","25.00","6.68","18.37","26.67","0","1.67","0.00","4.45","15.58","22.22","0","2.23","0.00","19.29","48.24","28.57","0","0","-","0.00","88.89","0.889","3.34","13.36","8.35","70.13","28.57","6.68","18.37","11.69","36.36"
"301","Jim Slater","WPG","C","78","1151.5166666667","14.763034188034","40.69","74.77","35.24","31","53.51","36.68","21.78","37.41","36.80","1.72","3.75","31.43","17.09","32.98","34.13","7.19","13.13","35.38","0.89","1.88","32.08","13.2","26.47","33.27","0.69","1.39","33.33","28.22","50.95","35.65","0.38","1.13","25.00","7.89","89.97","0.979","6.51","14.22","22.14","42.05","22.73","10.89","21","38.97","21.84"
"758","Brandon McMillan","ANA","L","25","280.4","11.216","32.74","74.04","30.66","24.18","53.92","30.96","16.26","39.16","29.34","1.71","5.56","23.53","16.05","34.02","32.05","7.7","14.12","35.29","1.07","2.57","29.41","11.13","26.53","29.55","0.29","3.14","8.33","20.71","51.62","28.63","0.62","0.93","40.00","10.53","85.79","0.963","7.06","17.12","13.27","57.99","34.74","8.99","22.9","18.62","32.56"
"753","Michael Stone","PHX","D","13","180.48333333333","13.883333333333","54.52","73.8","42.49","42.88","54.19","44.18","33.58","39.89","45.70","3.66","1.33","73.33","28.59","31.25","47.78","12.63","12.3","50.67","2.99","0.66","81.82","21.28","25.27","45.71","0.89","0.44","66.67","30.25","56.18","35.00","0","0.48","0.00","10.89","96.67","1.076","6.98","10.64","7.31","47.54","48.84","16.62","17.95","14.63","53.19"
"680","Maxime Macenauer","ANA","C","29","313.63333333333","10.814942528736","34.63","73.27","32.09","26.59","54.71","32.71","16.45","36.35","31.16","0.96","3.44","21.74","18.75","35.77","34.39","7.27","13.77","34.55","0.77","1.53","33.33","15.3","29.33","34.29","0","1.02","0.00","21.28","48.91","30.31","0.28","1.66","14.29","5.81","90.53","0.963","11.1","12.63","22.96","41.13","32.58","13.39","16.83","32.9","28.93"
"237","Colin Stuart","BUF","L","2","12.383333333333","6.1916666666667","29.07","72.68","28.57","14.54","67.83","17.65","4.85","62.99","7.14","0","14.54","0.00","4.85","29.07","14.29","0","14.54","0.00","0","0","-","6.46","19.38","25.00","0","6.46","0.00","27.99","62.99","30.77","0","14","0.00","0.00","76.92","0.769","14.54","14.54","14.54","48.45","50.00","24.23","29.07","19.38","55.56"
"529","Matt Watkins","PHX","R","1","6.6166666666667","6.6166666666667","18.14","72.54","20.00","18.14","72.54","20.00","9.07","45.34","16.67","0","9.07","0.00","0","36.27","0.00","0","18.14","0.00","0","0","-","0","24.18","0.00","0","0","-","26.2","52.39","33.33","0","13.1","0.00","0.00","80.00","0.800","9.07","27.2","9.07","27.2","50.00","9.07","36.27","36.27","20.00"
"510","Teemu Laakso","NSH","D","9","104.3","11.588888888889","43.72","72.48","37.62","28.76","52.35","35.46","22.44","40.27","35.78","1.15","2.3","33.33","19.56","25.89","43.04","5.18","8.63","37.50","0.58","1.73","25.00","19.18","23.01","45.45","0.77","0","100.00","29.91","56.5","34.62","0","0.83","0.00","5.13","94.29","0.994","8.05","8.05","6.9","71.33","53.85","13.23","12.66","17.26","43.40"
"167","Rostislav Klesla","PHX","D","65","1258.3","19.358461538462","48.26","71.95","40.14","36.76","52.17","41.34","26.56","35.67","42.68","2.57","2.38","51.92","22.32","32.38","40.80","9.49","14.26","39.96","1.62","1.34","54.84","17.1","24.16","41.45","0.83","0.83","50.00","29","50.14","36.64","0.34","0.62","35.71","9.69","93.32","1.030","6.2","13.07","14.07","40.58","30.59","14.26","21.17","26.23","35.22"
"579","David McIntyre","MIN","C","7","76.4","10.914285714286","43.19","71.47","37.67","33.77","50.26","40.19","18.85","36.13","34.29","1.57","3.14","33.33","15.71","28.27","35.71","7.07","14.14","33.33","1.57","1.57","50.00","11.52","18.85","37.93","0","1.05","0.00","35.17","55.58","38.75","0","1.13","0.00","8.33","91.30","0.996","7.85","10.21","7.85","57.33","50.00","10.21","13.35","19.63","34.21"
"280","Boyd Gordon","PHX","C","75","1194.4833333333","15.926444444444","43.7","70.62","38.22","33.1","53.19","38.36","24.16","37.72","39.04","1.91","2.51","43.18","20.04","30.49","39.66","10.05","14.62","40.73","1.11","1.66","40.00","13.33","21.16","38.64","0.4","0.6","40.00","27.43","51.01","34.97","0.65","0.58","52.94","7.90","93.34","1.012","6.78","14.06","18.59","37.32","26.73","12.91","21.1","31.14","29.30"
"204","Raitis Ivanans","CGY","L","1","11.083333333333","11.083333333333","27.07","70.38","27.78","27.07","59.55","31.25","16.24","54.14","23.08","0","5.41","0.00","0","32.48","0.00","0","10.83","0.00","0","5.41","0.00","0","28.87","0.00","0","0","-","31.28","54.74","36.36","0","0","-","0.00","90.00","0.900","5.41","27.07","0","48.72","100.00","10.83","27.07","5.41","66.67"
"16","Jay Pandolfo","NYI","L","62","677.2","10.922580645161","35.44","70.35","33.50","27.11","47.67","36.26","19.85","34.55","36.48","0.62","3.19","16.28","15.59","32.25","32.59","7.09","14.26","33.20","0.53","1.77","23.08","11.34","23.98","32.11","0","0.71","0.00","20.99","44.66","31.97","0","1.28","0.00","3.13","90.77","0.939","6.2","11.96","13.38","50.41","31.67","10.37","19.31","23.21","30.87"
"437","Mike Lundin","MIN","D","17","343.51666666667","20.206862745098","42.27","70.21","37.58","33.71","48.91","40.80","22.36","33.36","40.13","1.75","3.32","34.48","20.09","29.87","40.21","8.91","13.1","40.48","1.05","1.75","37.50","14.9","22.36","40.00","0.47","1.16","28.57","27.25","47.94","36.24","0.5","1.01","33.33","7.81","90.05","0.979","4.89","10.83","13.1","52.75","27.18","11","15.89","23.58","31.82"
"744","Colby Robak","FLA","D","3","37.7","12.566666666667","47.75","70.03","40.54","36.6","52.52","41.07","30.24","38.2","44.19","4.77","3.18","60.00","15.92","31.83","33.33","3.18","14.32","18.18","0","3.18","0.00","16.98","23.34","42.11","4.24","0","100.00","41.38","45.98","47.37","2.3","0","100.00","15.79","91.67","1.075","12.73","22.28","6.37","41.38","66.67","22.28","35.01","9.55","70.00"
