"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"764","Borna Rendulic","VAN","R","1","4.85","9","1","90.00","6","1","85.71","5","1","83.33","0","0","-","6","0","100.00","0","0","-","0","0","-","6","0","100.00","0","0","-","3","1","75.00","0","0","-","0.00","100.00","1.000","2","1","0","4","100.00","3","1","0","100.00"
"867","Kalle Kossila","ANA","L","1","6.9","7","2","77.78","4","2","66.67","2","2","50.00","0","0","-","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","3","2","60.00","0","0","-","0.00","100.00","1.000","2","1","0","8","100.00","3","4","0","100.00"
"267","Corey Tropp","ANA","R","1","9.4666666666667","10","4","71.43","7","4","63.64","5","2","71.43","0","1","0.00","3","2","60.00","1","1","50.00","0","0","-","2","1","66.67","0","1","0.00","7","2","77.78","0","0","-","0.00","50.00","0.500","4","4","0","0","100.00","5","5","1","83.33"
"617","Scott Laughton","PHI","C","2","20.483333333333","25","10","71.43","21","7","75.00","19","6","76.00","2","2","50.00","10","4","71.43","5","3","62.50","1","2","33.33","5","1","83.33","0","0","-","13","5","72.22","1","0","100.00","10.53","66.67","0.772","7","6","7","13","50.00","9","7","8","52.94"
"584","Nicklas Jensen","NYR","R","7","64.566666666667","80","42","65.57","57","30","65.52","38","26","59.38","2","2","50.00","35","25","58.33","16","13","55.17","2","2","50.00","19","12","61.29","0","0","-","38","13","74.51","0","0","-","5.26","92.31","0.976","14","15","2","65","87.50","23","17","8","74.19"
"531","Alexandre Grenier","VAN","R","3","19.45","19","10","65.52","11","8","57.89","9","6","60.00","0","1","0.00","8","5","61.54","2","2","50.00","0","0","-","6","3","66.67","0","0","-","9","4","69.23","0","0","-","0.00","83.33","0.833","4","4","2","19","66.67","10","6","4","71.43"
"177","Vladimir Sobotka","STL","L","1","16.683333333333","21","12","63.64","13","11","54.17","11","8","57.89","1","1","50.00","9","5","64.29","3","3","50.00","1","1","50.00","6","2","75.00","0","0","-","12","7","63.16","0","0","-","9.09","87.50","0.966","6","3","2","11","75.00","17","3","4","80.95"
"597","Torey Krug","BOS","D","81","1749.65","2124","1247","63.01","1600","919","63.52","1118","656","63.02","94","69","57.67","959","539","64.02","342","225","60.32","37","42","46.84","617","314","66.27","38","13","74.51","1020","597","63.08","16","8","66.67","8.41","89.48","0.979","379","379","180","1143","67.80","885","620","433","67.15"
"689","Jonny Brodzinski","L.A","C","6","73.716666666667","85","50","62.96","68","37","64.76","47","27","63.51","3","1","75.00","43","23","65.15","22","10","68.75","2","0","100.00","21","13","61.76","1","0","100.00","40","21","65.57","0","0","-","6.38","96.30","1.027","14","9","13","52","51.85","23","19","25","47.92"
"715","Valentin Zykov","CAR","L","2","12.5","17","10","62.96","14","9","60.87","13","8","61.90","1","0","100.00","11","3","78.57","7","2","77.78","1","0","100.00","4","1","80.00","0","0","-","5","6","45.45","0","0","-","7.69","100.00","1.077","3","5","2","6","60.00","4","7","5","44.44"
"790","David Pastrnak","BOS","R","75","1348.6833333333","1700","1001","62.94","1289","738","63.59","913","529","63.31","100","52","65.79","822","464","63.92","331","194","63.05","48","27","64.00","491","270","64.52","36","11","76.60","782","448","63.58","15","8","65.22","10.95","90.17","1.011","297","308","132","821","69.23","638","465","343","65.04"
"690","Sean Malone","BUF","C","1","12.2","10","6","62.50","7","5","58.33","6","5","54.55","0","0","-","4","3","57.14","2","3","40.00","0","0","-","2","0","100.00","0","0","-","5","2","71.43","0","0","-","0.00","100.00","1.000","2","3","1","9","66.67","4","3","2","66.67"
"638","Shayne Gostisbehere","PHI","D","76","1488.1166666667","1895","1140","62.44","1429","863","62.35","988","637","60.80","85","63","57.43","850","504","62.78","361","207","63.56","53","32","62.35","489","297","62.21","14","14","50.00","901","523","63.27","17","11","60.71","8.60","90.11","0.987","385","288","113","1025","77.31","823","461","243","77.20"
"213","Claude Giroux","PHI","C, R","82","1566.9833333333","1995","1211","62.23","1472","880","62.59","1015","632","61.63","97","68","58.79","865","528","62.10","373","205","64.53","52","31","62.65","492","323","60.37","18","15","54.55","964","539","64.14","26","16","61.90","9.56","89.24","0.988","420","396","249","953","62.78","837","543","423","66.43"
"1","Jaromir Jagr","FLA","R","82","1393.9833333333","1617","985","62.14","1271","811","61.05","940","623","60.14","80","53","60.15","746","477","61.00","276","201","57.86","34","34","50.00","470","276","63.00","31","15","67.39","787","438","64.24","11","3","78.57","8.51","91.49","1.000","352","311","156","875","69.29","632","440","325","66.04"
"99","Patrice Bergeron","BOS","C","79","1534.5","1868","1141","62.08","1435","847","62.88","1038","604","63.22","102","61","62.58","891","522","63.06","325","213","60.41","45","32","58.44","566","309","64.69","40","14","74.07","857","540","61.35","12","9","57.14","9.83","89.90","0.997","365","328","330","875","52.52","745","530","627","54.30"
"558","Nikita Kucherov","T.B","R","74","1438.6666666667","1664","1020","62.00","1234","807","60.46","873","599","59.31","106","56","65.43","821","508","61.78","303","212","58.83","51","23","68.92","518","296","63.64","37","16","69.81","776","448","63.40","16","11","59.26","12.14","90.65","1.028","388","315","152","843","71.85","676","466","308","68.70"
"588","Colin Miller","BOS","D","61","964.76666666667","1076","660","61.98","814","479","62.95","555","332","62.57","35","32","52.24","452","266","62.95","171","105","61.96","12","21","36.36","281","161","63.57","11","9","55.00","533","316","62.78","12","1","92.31","6.31","90.36","0.967","190","191","86","789","68.84","403","307","199","66.94"
"384","Linden Vey","CGY","R","4","44.066666666667","44","27","61.97","26","23","53.06","19","17","52.78","0","2","0.00","17","14","54.84","8","4","66.67","0","2","0.00","9","10","47.37","0","0","-","24","10","70.59","0","0","-","0.00","88.24","0.882","12","8","3","37","80.00","19","18","6","76.00"
"759","Jordan Oesterle","EDM","D","2","34.566666666667","44","27","61.97","20","19","51.28","16","9","64.00","0","1","0.00","18","11","62.07","6","5","54.55","0","1","0.00","12","6","66.67","0","0","-","21","12","63.64","0","0","-","0.00","88.89","0.889","5","3","1","34","83.33","14","6","4","77.78"
"408","Nic Dowd","L.A","C","70","871.9","950","593","61.57","702","414","62.90","477","287","62.43","30","33","47.62","404","288","58.38","156","102","60.47","16","18","47.06","248","186","57.14","5","6","45.45","464","243","65.63","9","3","75.00","6.29","88.50","0.948","207","134","87","762","70.41","346","218","170","67.05"
"424","Ryan Spooner","BOS","C","78","1099.4833333333","1290","808","61.49","969","586","62.32","708","436","61.89","66","45","59.46","576","341","62.81","212","158","57.30","32","29","52.46","364","183","66.54","23","10","69.70","624","390","61.54","11","4","73.33","9.32","89.68","0.990","298","214","69","838","81.20","504","344","195","72.10"
"104","Clarke MacArthur","OTT","L","4","53.95","59","37","61.46","43","28","60.56","26","20","56.52","0","1","0.00","29","20","59.18","12","8","60.00","0","1","0.00","17","12","58.62","0","0","-","22","17","56.41","0","0","-","0.00","95.00","0.950","8","8","5","48","61.54","16","16","13","55.17"
"287","Steven Stamkos","T.B","C","17","303.9","356","224","61.38","263","179","59.50","189","129","59.43","26","13","66.67","171","117","59.38","81","59","57.86","16","7","69.57","90","58","60.81","3","1","75.00","165","87","65.48","7","2","77.78","13.76","89.92","1.037","89","46","42","187","67.94","145","86","71","67.13"
"561","Jonathan Huberdeau","FLA","C, L","31","555.5","650","409","61.38","518","337","60.58","382","256","59.87","36","27","57.14","327","209","61.01","121","93","56.54","16","18","47.06","206","116","63.98","15","8","65.22","299","170","63.75","4","0","100.00","9.42","89.45","0.989","161","126","67","316","70.61","275","170","122","69.27"
"198","Brad Marchand","BOS","C, L","80","1554.9166666667","1858","1175","61.26","1416","880","61.67","1027","636","61.76","116","70","62.37","885","541","62.06","335","228","59.50","57","36","61.29","550","313","63.73","38","18","67.86","846","555","60.39","15","10","60.00","11.30","88.99","1.003","329","333","305","937","51.89","689","546","597","53.58"
"812","Frank Vatrano","BOS","C","44","593.01666666667","663","420","61.22","511","316","61.79","365","222","62.18","26","20","56.52","297","168","63.87","90","78","53.57","8","16","33.33","207","90","69.70","12","3","80.00","324","209","60.79","6","1","85.71","7.12","90.99","0.981","146","143","41","475","78.07","263","214","106","71.27"
"274","Jakub Voracek","PHI","R","82","1564.1333333333","1937","1232","61.12","1448","911","61.38","1019","696","59.42","98","78","55.68","856","575","59.82","376","226","62.46","55","39","58.51","480","349","57.90","18","17","51.43","928","520","64.09","24","16","60.00","9.62","88.79","0.984","399","386","221","953","64.35","773","550","409","65.40"
"599","Spencer Abbott","CHI","L","1","8.5666666666667","11","7","61.11","6","6","50.00","5","4","55.56","0","0","-","4","2","66.67","1","2","33.33","0","0","-","3","0","100.00","0","0","-","5","4","55.56","0","0","-","0.00","100.00","1.000","2","2","0","8","100.00","3","3","0","100.00"
"780","Jakub Vrana","WSH","L","21","233.28333333333","282","180","61.04","201","133","60.18","134","99","57.51","9","3","75.00","128","91","58.45","55","42","56.70","7","1","87.50","73","49","59.84","1","2","33.33","128","72","64.00","1","0","100.00","6.72","96.97","1.037","49","47","17","176","74.24","77","62","37","67.54"
"8","Joe Thornton","S.J","C","79","1426.7833333333","1734","1109","60.99","1252","792","61.25","853","545","61.02","88","49","64.23","839","526","61.47","352","213","62.30","42","27","60.87","487","313","60.88","26","10","72.22","767","456","62.71","18","9","66.67","10.32","91.01","1.013","387","311","165","944","70.11","703","475","374","65.27"
"253","Sam Gagner","CBJ","C","81","1110.9","1280","820","60.95","960","601","61.50","717","430","62.51","76","35","68.47","651","396","62.18","297","159","65.13","38","17","69.09","354","237","59.90","26","7","78.79","533","347","60.57","11","8","57.89","10.60","91.86","1.025","281","178","122","805","69.73","468","248","256","64.64"
"626","Teuvo Teravainen","CAR","L","81","1315.45","1445","926","60.94","1077","722","59.87","744","517","59.00","63","50","55.75","615","408","60.12","277","172","61.69","36","26","58.06","338","236","58.89","10","9","52.63","727","442","62.19","15","14","51.72","8.47","90.33","0.988","346","303","147","888","70.18","527","381","269","66.21"
"739","Samuel Morin","PHI","D","1","17.783333333333","14","9","60.87","12","8","60.00","8","5","61.54","0","0","-","6","5","54.55","3","3","50.00","0","0","-","3","2","60.00","0","0","-","5","4","55.56","0","0","-","0.00","100.00","1.000","1","2","1","20","50.00","3","3","3","50.00"
"852","Artemi Panarin","CHI","C, L","82","1596.6333333333","1823","1173","60.85","1314","898","59.40","953","695","57.83","109","62","63.74","802","584","57.86","305","256","54.37","56","40","58.33","497","328","60.24","27","14","65.85","903","508","64.00","25","7","78.13","11.44","91.08","1.025","377","308","19","1080","95.20","720","470","120","85.71"
"423","Tyler Toffoli","L.A","C","63","1044.9","1232","795","60.78","897","600","59.92","625","428","59.35","54","43","55.67","570","385","59.69","206","143","59.03","18","21","46.15","364","242","60.07","18","11","62.07","563","347","61.87","14","10","58.33","8.64","89.95","0.986","266","221","148","718","64.25","497","341","293","62.91"
"366","Chris Kreider","NYR","C, L","75","1275.3666666667","1465","949","60.69","1116","708","61.18","792","497","61.44","77","48","61.60","690","424","61.94","303","185","62.09","46","27","63.01","387","239","61.82","16","13","55.17","664","427","60.86","14","7","66.67","9.72","90.34","1.001","370","288","168","726","68.77","592","404","334","63.93"
"463","Nino Niederreiter","MIN","R","82","1235.8833333333","1328","860","60.69","975","643","60.26","722","478","60.17","84","42","66.67","600","344","63.56","273","136","66.75","52","14","78.79","327","208","61.12","15","17","46.88","614","431","58.76","16","8","66.67","11.63","91.21","1.028","286","283","147","851","66.05","455","421","301","60.19"
"530","Josh Leivo","TOR","L","13","163.46666666667","188","122","60.65","157","90","63.56","114","68","62.64","11","6","64.71","108","56","65.85","40","20","66.67","7","4","63.64","68","36","65.38","1","0","100.00","66","54","55.00","3","1","75.00","9.65","91.18","1.008","45","41","27","126","62.50","61","52","49","55.45"
