"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"826","A.J. Greer","COL","L","5","68.283333333333","0","1","0","1","1","100.00","8","0.00","11","10","7","4","0","2","4","2","2","0","0","2","2","1","4","6","3","0","0","-"
"770","Aaron Ekblad","FLA","D","68","1459.2833333333","10","11","4","7","21","38.89","225","4.44","408","296","111","16","4","18","58","29","29","0","0","17","58","25","88","84","62","0","0","-"
"306","Aaron Ness","WSH","D","2","25.666666666667","0","0","0","0","0","-","0","-","1","1","0","0","0","0","0","0","0","0","0","0","1","0","2","2","2","0","0","-"
"543","Adam Clendening","NYR","D","31","490.1","2","9","2","7","11","47.83","38","5.26","88","57","14","1","1","5","17","7","6","1","0","5","20","7","22","66","27","0","0","-"
"148","Adam Cracknell","DAL","R","69","721.75","10","6","3","3","16","55.17","87","11.49","170","127","94","43","7","10","12","5","5","0","0","16","16","19","91","52","37","135","160","45.76"
"712","Adam Erne","T.B","L","26","306.98333333333","3","0","0","0","3","60.00","40","7.50","65","58","42","18","0","4","11","4","3","1","0","6","5","2","71","23","13","0","2","0.00"
"316","Adam Henrique","N.J","C","82","1490.1166666667","20","20","13","7","40","63.49","142","14.08","243","190","158","81","6","13","38","15","14","0","1","19","28","45","88","94","68","585","629","48.19"
"562","Adam Larsson","EDM","D","79","1591.85","4","15","3","12","19","24.68","85","4.71","203","125","46","7","1","8","55","25","24","1","0","9","71","28","253","145","160","0","0","-"
"522","Adam Lowry","WPG","C, L","82","1316.0333333333","15","14","7","7","29","50.88","122","12.30","200","164","136","83","5","25","52","19","16","2","1","17","24","29","217","113","56","658","637","50.81"
"172","Adam McQuaid","BOS","D","77","1405","2","8","4","4","10","19.61","64","3.13","136","94","22","1","4","8","71","23","17","5","1","17","24","10","157","121","144","0","0","-"
"143","Adam Pardy","NSH","D","4","43.966666666667","0","0","0","0","0","0.00","4","0.00","6","5","1","0","0","1","6","3","3","0","0","0","0","1","3","6","3","0","0","-"
"642","Adam Pelech","NYI","D","44","740.7","3","7","1","6","10","37.04","40","7.50","89","57","18","3","4","3","6","3","3","0","0","6","28","17","73","62","68","0","0","-"
"794","Adrian Kempe","L.A","L","25","305.76666666667","2","4","3","1","6","60.00","32","6.25","61","44","26","14","2","4","6","3","3","0","0","5","10","5","23","14","7","67","86","43.79"
"529","Alan Quine","NYI","C","61","763.76666666667","5","13","6","7","18","50.00","82","6.10","125","99","73","40","6","6","8","4","4","0","0","4","18","17","77","45","29","264","286","48.00"
"276","Alec Martinez","L.A","D","82","1774.5833333333","9","30","13","17","39","48.75","144","6.25","333","224","102","21","3","32","24","12","12","0","0","5","51","5","137","147","167","0","1","0.00"
"731","Aleksander Barkov","FLA","C","61","1184.1","21","31","21","10","52","73.24","142","14.79","226","189","136","60","5","19","10","5","5","0","0","17","30","49","39","90","30","476","547","46.53"
"44","Ales Hemsky","DAL","R","15","216.3","4","3","3","0","7","100.00","30","13.33","52","41","27","10","2","4","0","0","0","0","0","1","6","9","1","14","4","0","0","-"
"197","Alex Biega","VAN","D","36","474.06666666667","0","3","1","2","3","25.00","37","0.00","79","59","14","2","1","1","18","9","9","0","0","2","7","5","97","61","24","0","0","-"
"349","Alex Chiasson","CGY","R","81","1084.4833333333","12","12","5","7","24","63.16","104","11.54","165","131","96","57","9","8","46","16","13","2","1","10","22","32","74","93","18","7","22","24.14"
"606","Alex Galchenyuk","MTL","C","61","971.71666666667","17","27","16","11","44","73.33","104","16.35","198","150","109","51","7","16","24","11","11","0","0","7","34","17","36","84","32","274","368","42.68"
"134","Alex Goligoski","ARI","D","82","1913","6","30","14","16","36","42.86","112","5.36","235","156","58","8","1","16","28","14","14","0","0","11","57","15","137","107","143","0","0","-"
"238","Alex Killorn","T.B","C, L","81","1458.2333333333","19","17","11","6","36","50.70","177","10.73","297","243","168","74","11","16","66","30","28","2","0","27","43","33","99","112","25","4","8","33.33"
