;Last Name_18;First Name_18;Team(s)_18;GP_18;W_18;OTL_18;SO_18;PTS_18;PTS/G_18;END;SALARY;Cap_Hit
FERGUSONDYLAN;Ferguson;Dylan;VGK;1;0;0;0;0;0.0;;;
BUDAJPETER;Budaj;Peter;TBL;8;3;1;0;7;0.875;19.0;1025000.0;1025000.0
HUTCHINSONMICHAEL;Hutchinson;Michael;WPG;3;2;0;0;4;1.3333333333333333;;1150000.0;1300000.0
LACKEDDIE;Lack;Eddie;NJD;8;2;0;0;4;0.5;;2750000.0;650000.0
HAMMONDANDREW;Hammond;Andrew;COL;1;0;0;0;0;0.0;;1350000.0;
HOLTBYBRADEN;Holtby;Braden;WSH;54;34;4;0;72;1.3333333333333333;20.0;6100000.0;6100000.0
BOBROVSKYSERGEI;Bobrovsky;Sergei;CBJ;65;37;6;5;85;1.3076923076923077;19.0;7425000.0;7425000.0
DARLINGSCOTT;Darling;Scott;CAR;43;13;7;0;33;0.7674418604651163;21.0;4150000.0;4150000.0
COREAUJARED;Coreau;Jared;DET;7;0;1;0;1;0.14285714285714285;;;
MILLERRYAN;Miller;Ryan;ANA;28;12;6;4;34;1.2142857142857142;19.0;2000000.0;2000000.0
CONDONMIKE;Condon;Mike;OTT;31;5;5;0;15;0.4838709677419355;20.0;2400000.0;2400000.0
NILSSONANDERS;Nilsson;Anders;VAN;27;7;4;2;20;0.7407407407407407;19.0;1500000.0;2500000.0
LINDGRENCHARLIE;Lindgren;Charlie;MTL;14;4;2;2;12;0.8571428571428571;;700000.0;
FLEURYMARCANDRE;Fleury;Marc-Andre;VGK;46;29;4;4;66;1.434782608695652;19.0;5750000.0;5750000.0
PICKARDCALVIN;Pickard;Calvin;TOR;1;0;1;0;1;1.0;;1000000.0;
TALBOTCAM;Talbot;Cam;EDM;67;31;3;1;66;0.9850746268656716;19.0;4166666.0;4166667.0
KINKAIDKEITH;Kinkaid;Keith;NJD;41;26;3;1;56;1.3658536585365855;19.0;1250000.0;1250000.0
MCKENNAMIKE;McKenna;Mike;DAL;2;1;0;0;2;1.0;;650000.0;
LEHNERROBIN;Lehner;Robin;BUF;53;14;9;3;40;0.7547169811320755;;4000000.0;1500000.0
LYONALEX;Lyon;Alex;PHI;11;4;1;0;9;0.8181818181818182;;;
BERUBEJF;Berube;J-F;CHI;13;3;1;0;7;0.5384615384615384;;;
SMITHMIKE;Smith;Mike;CGY;55;25;6;3;59;1.0727272727272728;19.0;5666666.0;4250000.0
RAANTAANTTI;Raanta;Antti;ARI;47;21;6;3;51;1.0851063829787233;;1000000.0;4250000.0
CRAWFORDCOREY;Crawford;Corey;CHI;28;16;2;2;36;1.2857142857142858;20.0;6000000.0;6000000.0
LEHTONENKARI;Lehtonen;Kari;DAL;37;15;3;1;34;0.918918918918919;;5900000.0;
GEORGIEVALEXANDAR;Georgiev;Alexandar;NYR;10;4;1;0;9;0.9;;;
PRICECAREY;Price;Carey;MTL;49;16;7;1;40;0.8163265306122449;;6500000.0;10500000.0
HOWARDJIMMY;Howard;Jimmy;DET;60;22;9;1;54;0.9;19.0;5291667.0;5291666.0
MCELHINNEYCURTIS;McElhinney;Curtis;TOR;18;11;1;3;26;1.4444444444444444;19.0;850000.0;850000.0
CAMPBELLJACK;Campbell;Jack;LAK;5;2;2;0;6;1.2;;;675000.0
RASKTUUKKA;Rask;Tuukka;BOS;54;34;5;3;76;1.4074074074074074;21.0;7000000.0;7000000.0
BROSSOITLAURENT;Brossoit;Laurent;EDM;14;3;1;0;7;0.5;;750000.0;650000.0
WEDGEWOODSCOTT;Wedgewood;Scott;ARI;20;5;4;1;15;0.75;;650000.0;
PAVELECONDREJ;Pavelec;Ondrej;NYR;19;4;1;1;10;0.5263157894736842;;1300000.0;
DELIACOLLIN;Delia;Collin;CHI;2;1;0;0;2;1.0;;;
WILCOXADAM;Wilcox;Adam;BUF;1;0;0;0;0;0.0;;;
KUEMPERDARCY;Kuemper;Darcy;ARI;29;12;5;4;33;1.1379310344827587;;650000.0;1850000.0
MONTOYAAL;Montoya;Al;EDM;13;4;2;0;10;0.7692307692307693;19.0;1062500.0;
FORSBERGANTON;Forsberg;Anton;CHI;35;10;4;0;24;0.6857142857142857;19.0;750000.0;
QUICKJONATHAN;Quick;Jonathan;LAK;64;33;3;5;74;1.15625;23.0;5800000.0;5800000.0
GRUBAUERPHILIPP;Grubauer;Philipp;WSH;35;15;3;3;36;1.0285714285714285;;1500000.0;3333333.0
DUBNYKDEVAN;Dubnyk;Devan;MIN;60;35;7;5;82;1.3666666666666667;21.0;4333333.0;4333333.0
DANSKOSCAR;Dansk;Oscar;VGK;4;3;0;1;7;1.75;;;
DOMINGUELOUIS;Domingue;Louis;TBL;19;7;1;0;15;0.7894736842105263;;1050000.0;1150000.0
BISHOPBEN;Bishop;Ben;DAL;53;26;5;5;62;1.169811320754717;23.0;4916667.0;4916666.0
SCHNEIDERCORY;Schneider;Cory;NJD;40;17;6;1;41;1.025;22.0;6000000.0;6000000.0
SUBBANMALCOLM;Subban;Malcolm;VGK;22;13;2;0;28;1.2727272727272727;;650000.0;650000.0
MRAZEKPETR;Mrazek;Petr;PHI;39;14;6;4;38;0.9743589743589743;;4000000.0;1500000.0
LUNDQVISTHENRIK;Lundqvist;Henrik;NYR;63;26;7;2;61;0.9682539682539683;21.0;8500000.0;8500000.0
VASILEVSKIYANDREI;Vasilevskiy;Andrei;TBL;65;44;3;8;99;1.523076923076923;20.0;3500000.0;3500000.0
LUONGOROBERTO;Luongo;Roberto;FLA;35;18;2;3;41;1.1714285714285715;22.0;5333333.0;4533333.0
STALOCKALEX;Stalock;Alex;MIN;28;10;4;1;25;0.8928571428571429;19.0;650000.0;650000.0
MURRAYMATT;Murray;Matt;PIT;49;27;3;1;58;1.183673469387755;20.0;3750000.0;3750000.0
GILLIESJON;Gillies;Jon;CGY;11;3;1;0;7;0.6363636363636364;;;750000.0
ANDERSENFREDERIK;Andersen;Frederik;TOR;66;38;5;5;86;1.303030303030303;21.0;5000000.0;5000000.0
SAROSJUUSE;Saros;Juuse;NSH;26;11;7;3;32;1.2307692307692308;;696500.0;1500000.0
KORPISALOJOONAS;Korpisalo;Joonas;CBJ;18;8;1;0;17;0.9444444444444444;19.0;900000.0;900000.0
APPLEBYKEN;Appleby;Ken;NJD;3;0;0;0;0;0.0;;;
SATERIHARRI;Sateri;Harri;FLA;9;4;0;0;8;0.8888888888888888;;;
