Name;Last_Name;First_Name;Team;Age;Position;GP_13;GP_14;GP_15;GP_16;GP_17;GP_18;GP_var;GP_mean;G_13;G_14;G_15;G_16;G_17;G_18;A_13;A_14;A_15;A_16;A_17;A_18;PTS_13;PTS_14;PTS_15;PTS_16;PTS_17;PTS_18;PTS_var;PTS_mean;PAX_18;PTS/G_13;PTS/G_14;PTS/G_15;PTS/G_16;PTS/G_17;PTS/G_18;PTS/G_var;PTS/G_mean;$/PTS_13;$/PTS_14;$/PTS_15;$/PTS_16;$/PTS_17;$/PTS_18;Sh%_13;Sh%_14;Sh%_15;Sh%_16;Sh%_17;iSF_13;iSF_14;iSF_15;iSF_16;iSF_17;iSF_18;TOI/G_13;TOI/G_14;TOI/G_15;TOI/G_16;TOI/G_17;TOI/G_18;PPTOI/GP_17;PPTOI/GP_18;Sh%_18;ZS%_18;GC_18;SCF_18;GS/G_18;OWAR_18;OPS_18;PDO_17;PDO_18;iCF_17;iCF_18;iFF_17;iFF_18;Cap Cost_13;Cap Cost_14;Cap Cost_15;Cap Hit_16;Cap Hit_17;Cap Hit_18;Cap_Hit;END;Star;Score;POS;PTS
AHOSEBASTIAN;Aho;Sebastian;NYI;22.0;D;;;;;82.0;22.0;900.0;52.0;;;;;24.0;1.0;;;;;25.0;3.0;;;;;49.0;4.0;506.25;26.5;0.0;;;;;0.5975609756097561;0.18181818181818182;0.043210517647405855;0.3896895787139689;;;;;18877.551020408162;51646.34146341464;;;;;0.094;;;;;213.0;24.0;;;;;16.78;16.25;2.18;0.97;0.099;0.447;26.3;181.0;0.13;-0.09;0.1;1005;-0.0009999999999998899;360.0;54.0;285.0;33.0;;;;;925000.0;770000.0;925000.0;19.0;0.4247;3.0137193444738823;LW;65.0
ALTMARK;Alt;Mark; COL;27.0;D;;;1.0;;;15.0;49.0;8.0;;;0.0;;;0.0;;;0.0;;;0.0;;;0.0;;;0.0;0.0;0.0;0.0;;;0.0;;;0.0;0.0;0.0;;;121.95121951219512;;;118902.43902439025;;;0.0;;;;;0.0;;;11.0;;;9.4;;;12.45;;0.01;0.037000000000000005;0.536;0.0;78.0;0.06;-0.01;-0.2;;0.01200000000000001;;29.0;;17.0;;;10000.0;;;650000.0;;;0.0019;1.836919459458557;;
ALZNERKARL;Alzner;Karl;MTL;30.0;D;48.0;82.0;82.0;82.0;82.0;82.0;0.0;82.0;1.0;2.0;5.0;4.0;3.0;1.0;4.0;16.0;16.0;17.0;10.0;11.0;5.0;18.0;21.0;21.0;13.0;12.0;14.8;17.0;-4.2;0.10416666666666667;0.21951219512195122;0.25609756097560976;0.25609756097560976;0.15853658536585366;0.14634146341463414;0.0033120043207122453;0.19012533875338755;150439.0243902439;155555.55555555556;133333.33333333334;133333.33333333334;215384.61538461538;385416.6666666667;0.026000000000000002;0.021;0.069;0.053;0.09699999999999999;39.0;95.0;72.0;75.0;81.0;84.0;21.0;20.5;19.4;21.4;19.8;20.08;0.08;0.02;0.075;0.37200000000000005;4.0;605.0;0.25;-0.61;-0.7;1029;0.02400000000000002;162.0;188.0;121.0;122.0;1285000.0;2800000.0;2800000.0;2800000.0;2800000.0;4625000.0;4625000.0;22.0;0.5557;3.556680191071587;D;15.0
ANDERSSONRASMUS;Andersson;Rasmus;CGY;22.0;D;;;;;1.0;10.0;20.25;5.5;;;;;0.0;0.0;;;;;0.0;0.0;;;;;0.0;0.0;0.0;0.0;0.0;;;;;0.0;0.0;0.0;0.0;;;;;9593.5;92174.75609756097;;;;;0.0;;;;;0.0;8.0;;;;;18.55;15.44;2.06;1.56;0.065;0.598;0.0;86.0;0.19;0.15;-0.2;800;0.040000000000000036;1.0;23.0;0.0;13.0;;;;;786667.0;755833.0;;20.0;0.0075;2.37205643478799;;
ANTIPINVICTOR;Antipin;Victor;BUF;26.0;D;;;;;;47.0;0.0;47.0;;;;;;0.0;;;;;;10.0;;;;;;10.0;0.0;10.0;0.0;;;;;;0.2127659574468085;0.0;0.2127659574468085;;;;;;53018.292682926825;;;;;;;;;;;40.0;;;;;;15.28;;0.98;0.068;0.581;3.0;270.0;0.15;-0.49;0.1;;0.017000000000000015;;79.0;;53.0;;;;;;925000.0;;;0.3034;3.2743683781704855;;
AUVITUYOHANN;Auvitu;Yohann;EDM;29.0;D;;;;;25.0;33.0;16.0;29.0;;;;;2.0;3.0;;;;;2.0;6.0;;;;;4.0;9.0;6.25;6.5;3.7;;;;;0.16;0.2727272727272727;0.00317685950413223;0.21636363636363637;;;;;60403.96341463414;31300.81300813008;;;;;0.061;;;;;54.0;69.0;;;;;15.6;13.56;2.09;0.42;0.099;0.615;3.3;234.0;0.46;-0.06;0.7;1005;-0.0040000000000000036;87.0;128.0;67.0;83.0;;;;;792500.0;700000.0;;;0.2644;3.2020827895160893;;
BARBERIOMARK;Barberio;Mark;COL;28.0;D;2.0;49.0;52.0;30.0;60.0;46.0;97.44;47.4;0.0;5.0;1.0;2.0;2.0;3.0;0.0;5.0;6.0;8.0;11.0;10.0;0.0;10.0;7.0;10.0;13.0;13.0;5.04;10.6;3.5;0.0;0.20408163265306123;0.1346153846153846;0.3333333333333333;0.21666666666666667;0.2826086956521739;0.011505722131419779;0.19521761882010327;857.3658536585366;36152.439024390245;79177.70034843206;21951.219512195123;42213.88367729831;32363.977485928706;0.0;0.09300000000000001;0.019;0.063;0.07400000000000001;1.0;54.0;53.0;32.0;80.0;52.0;15.5;14.6;16.8;15.0;18.27;17.28;1.69;0.16;0.08800000000000001;0.32799999999999996;4.5;301.0;0.27;-0.47;0.7;1003;-0.016000000000000014;198.0;124.0;129.0;83.0;35152.0;605000.0;874000.0000000001;600000.0;750000.0;750000.0;1450000.0;;0.5664;2.9979070611915444;;
BARRIETYSON;Barrie;Tyson;COL;27.0;D;32.0;64.0;80.0;78.0;74.0;68.0;36.16;72.8;2.0;13.0;12.0;13.0;7.0;14.0;11.0;25.0;41.0;36.0;31.0;43.0;13.0;38.0;53.0;49.0;38.0;57.0;60.4;47.0;18.6;0.40625;0.59375;0.6625;0.6282051282051282;0.5135135135135135;0.8382352941176471;0.017702580420083575;0.6070756559727148;17365.403377110695;18485.237483953788;47860.10124252186;50472.87207565953;130616.17458279847;80017.11596063328;0.034;0.129;0.086;0.076;0.07;58.0;101.0;139.0;172.0;180.0;178.0;21.6;18.5;21.4;23.2;23.3;22.7;2.96;3.73;0.11800000000000001;0.695;20.0;800.0;0.75;-0.74;5.5;972;-0.018000000000000016;407.0;396.0;277.0;246.0;578485.0;900000.0;2600000.0;2600000.0;5500000.0;5500000.0;5500000.0;20.0;5.3855;7.090033162376001;D;50.0
BARTKOWSKIMATT;Bartkowski;Matt;CGY;30.0;D;11.0;64.0;47.0;80.0;24.0;18.0;549.4399999999999;46.6;0.0;0.0;0.0;6.0;1.0;0.0;2.0;18.0;4.0;12.0;1.0;3.0;2.0;18.0;4.0;18.0;2.0;3.0;54.4;9.0;-0.4;0.18181818181818182;0.28125;0.0851063829787234;0.225;0.08333333333333333;0.16666666666666666;0.005044783451842786;0.17052909413281755;15650.384146341465;28184.28184281843;179115.85365853657;94850.9485094851;89634.1463414634;44817.07317073171;0.0;0.0;0.0;0.071;0.087;9.0;91.0;67.0;85.0;16.0;21.0;13.5;19.5;16.9;18.6;15.38;13.35;0.11;0.01;0.067;0.493;0.9;99.0;0.07;-0.25;0.0;1000;0.0030000000000000027;49.0;37.0;28.0;26.0;233333.0;650000.0;1250000.0;1750000.0;612500.0;612500.0;;;0.0769;2.2256558873455496;;
BEARETHAN;Bear;Ethan;EDM;21.0;D;;;;;;18.0;0.0;18.0;;;;;;1.0;;;;;;3.0;;;;;;4.0;0.0;4.0;0.0;;;;;;0.2222222222222222;0.0;0.2222222222222222;;;;;;39512.19512195122;;;;;;;;;;;20.0;;;;;;18.63;;1.83;0.078;0.6409999999999999;1.4;164.0;0.01;-0.15;0.1;;0.02100000000000002;;45.0;;28.0;;;;;;720000.0;;;0.2036;2.9020576722549665;;
