Sep. 10,Prospect,Team,type,Prospect Rating,Aug. 10,July 10
1,Elias Pettersson,VAN,o,92.6,1,3
2,Casey Mittelstadt,BUF,o,90.5,2,6
3,Henrik Borgstrom,FLA,t,86.1,3,2
4,Eeli Tolvanen,NSH,o,84,4,1
5,Andrei Svechnikov,CAR,o,83.1,5,5
6,Dylan Strome,ARI,o,79.8,6,4
7,Martin Necas,CAR,o,78.3,7,12
8,Ryan Donato,BOS,o,74.9,9,9
9,Dylan Sikura,CHI,o,74.9,10,21
10,Kailer Yamamoto,EDM,os,74.5,11,8
11,Jack Roslovic,WPG,t,74.4,12,11
12,Brady Tkachuk,OTT,p,74,13,7
13,Robert Thomas,STL,t,72.1,14,13
14,Sam Steel,ANA,o,71.7,15,14
15,Filip Zadina,DET,o,71.6,16,15
16,Jesperi Kotkaniemi,MON,o,71.5,17,16
17,Joel Eriksson Ek,MIN,o,71.1,18,19
18,Troy Terry,ANA,o,70.4,19,17
19,Jordan Greenway,MIN,p,69.9,20,18
20,Jordan Kyrou,STL,o,69.5,21,20
21,Cody Glass,VGK,o,69.2,22,25
22,Colin White,OTT,o,69.1,23,22
23,Gabriel Vilardi,LAK,o,68.8,27,23
24,Drake Batherson,OTT,p,68.3,24,33
25,Tage Thompson,BUF,o,68.1,25,37
26,Daniel Sprong,PIT,o,68.1,26,34
27,Luke Kunin,MIN,o,67.5,28,26
28,Lias Andersson,NYR,t,67.5,34,30
29,Logan Brown,OTT,o,67.3,29,28
30,Anthony Cirelli,TBL,t,66.9,30,38
31,Kirill Kaprizov,MIN,os,66.8,31,29
32,J.T. Compher,COL,t,66.5,32,35
33,Owen Tippett,FLA,o,66.4,33,27
34,Nick Suzuki,MON,t,66.3,52,53
35,Kasperi Kapanen,TOR,o,66.2,35,32
36,Josh Ho-Sang,NYI,o,66.1,75,24
37,Vitali Kravtsov,NYR,o,65.8,43,45
38,Valeri Nichushkin,DAL,o,65.7,36,50
39,Michael Rasmussen,DET,p,65.5,37,31
