Name;Prospect;Team;value
RASMUSDAHLIN;Rasmus Dahlin;BUF;140.3
QUINNHUGHES;Quinn Hughes;VAN;112.0
MIROHEISKANEN;Miro Heiskanen;DAL;111.4
CALEMAKAR;Cale Makar;COL;102.7
THOMASCHABOT;Thomas Chabot;OTT;101.4
ADAMBOQVIST;Adam Boqvist;CHI;96.5
EVANBOUCHARD;Evan Bouchard;EDM;91.6
TIMOTHYLILJEGREN;Timothy Liljegren;TOR;84.5
JUUSOVALIMAKI;Juuso Valimaki;CGY;78.9
HENRIJOKIHARJU;Henri Jokiharju;CHI;74.7
ADAMFOX;Adam Fox;CAR;70.2
SAMUELGIRARD;Samuel Girard;COL;69.0
OLLIJUOLEVI;Olli Juolevi;VAN;68.9
ERIKBRANNSTROM;Erik Brannstrom;VGK;68.7
KALECLAGUE;Kale Clague;LAK;64.3
NOAHDOBSON;Noah Dobson;NYI;61.2
JULIUSHONKA;Julius Honka;DAL;60.3
TONYDEANGELO;Tony DeAngelo;NYR;58.9
CONORTIMMINS;Conor Timmins;COL;58.0
RASMUSANDERSSON;Rasmus Andersson;CGY;57.9
VICTORMETE;Victor Mete;MON;57.7
DANTEFABBRO;Dante Fabbro;NSH;57.7
TRAVISSANHEIM;Travis Sanheim;PHI;56.9
CHRISTIANDJOOS;Christian Djoos;WAS;55.8
MADISONBOWEY;Madison Bowey;WAS;55.2
BRENDANGUHLE;Brendan Guhle;BUF;55.1
TRAVISDERMOTT;Travis Dermott;TOR;53.8
RYANMERKLEY;Ryan Merkley;SJS;53.7
JORDANSCHMALTZ;Jordan Schmaltz;STL;53.4
SEBASTIANAHOD;Sebastian Aho (d);NYI;53.2
FILIPHRONEK;Filip Hronek;DET;52.5
SAMINIKU;Sami Niku;WPG;52.5
GUSTAVFORSLING;Gustav Forsling;CHI;52.4
LIBORHAJEK;Libor Hajek;NYR;51.9
NOAHJUULSEN;Noah Juulsen;MON;50.5
ETHANBEAR;Ethan Bear;EDM;49.3
JAKEWALMAN;Jake Walman;STL;49.3
OLIVERKYLINGTON;Oliver Kylington;CGY;48.8
PIERREOLIVIERJOSEPH;Pierre-Olivier Joseph;ARI;48.8
DEVONTOEWS;Devon Toews;NYI;47.7
CALFOOTE;Cal Foote;TBL;47.4
TYSMITH;Ty Smith;NJD;47.1
GABRIELCARLSSON;Gabriel Carlsson;CBJ;46.0
PHILIPPEMYERS;Philippe Myers;PHI;45.7
KANDREMILLER;K'Andre Miller;NYR;45.6
DANIELBRICKLEY;Daniel Brickley;LAK;45.3
KYLECAPOBIANCO;Kyle Capobianco;ARI;45.3
LOUIEBELPEDIO;Louie Belpedio;MIN;45.3
RASMUSSANDIN;Rasmus Sandin;TOR;45.2
JAKEBEAN;Jake Bean;CAR;45.1
